Distance_(pixels),Gray_Value
457,2362.698
458,2426.638
459,2555.976
460,2892.895
461,3222.745
462,3452.752
463,3443.490
464,3189.881
465,2785.447
466,2376.015
467,2005.128
468,1717.485
469,1618.744
470,1687.589
471,1860.060
472,2286.361
473,2653.712
474,2820.608
475,2977.402
476,2823.372
477,2753.077
478,3057.251
479,3081.280
480,2740.887
481,2385.109
482,1983.332
483,1828.578
484,1808.008
485,2080.700
486,2520.781
487,2852.246
488,3158.409
489,2779.706
490,2131.577
491,1871.933
492,1730.604
493,1762.024
494,1927.066
495,2006.388
496,1961.899
497,2018.200
498,2061.683
499,2357.915
500,2999.557
501,3096.375
502,2891.761
503,2631.958
504,2175.346
505,1848.288
506,1720.122
507,1789.733
508,1851.734
509,1880.432
510,1903.753
511,1849.921
512,1874.913
513,2116.261
514,2695.985
515,3187.763
516,3110.975
517,2727.767
518,2300.662
519,2047.597
520,2112.592
521,2323.124
522,2453.260
523,2365.398
524,2036.771
525,1875.408
526,1984.091
527,2019.160
528,2002.725
529,1912.611
530,1794.513
531,1776.924
532,1852.380
533,1971.083
534,2039.750
535,2000.865
536,1984.121
537,1971.230
538,1828.301
539,1764.386
540,1750.058
541,1829.458
542,2096.396
543,2209.050
544,2204.500
545,2287.702
546,2366.499
547,2224.507
548,1971.773
549,1818.289
550,1830.278
551,1950.726
552,1989.279
553,1946.938
554,2183.310
555,2793.328
556,2933.835
557,2489.779
558,2317.858
559,2220.946
560,2038.803
561,2111.729
562,2082.857
563,1785.296
564,1725.355
565,1827.807
566,1988.229
567,2287.304
568,2637.886
569,2862.990
570,2707.946
571,2374.408
572,2099.109
573,2048.536
574,2138.690
575,2092.298
576,2017.820
577,1913.132
578,1829.619
579,1924.829
580,1952.010
581,1885.346
582,1843.546
583,1789.586
584,1802.028
585,1798.763
586,1899.942
587,1950.174
588,1817.082
589,1820.268
590,2135.028
591,2768.713
592,3625.268
593,3820.956
594,3142.823
595,2673.169
596,2998.854
597,3655.712
598,3647.541
599,2919.476
600,2292.376
601,2013.520
602,2099.963
603,2187.498
604,2118.000
605,2184.775
606,2152.047
607,1919.822
608,1752.818
609,1756.710
610,1957.821
611,2214.262
612,2414.185
613,2989.139
614,3623.371
615,3419.298
616,2685.744
617,2205.666
618,1939.165
619,1829.397
620,1913.815
621,1949.015
622,1888.267
623,2049.527
624,2319.072
625,2560.958
626,2646.149
627,2499.146
628,2370.135
629,2241.935
630,2219.817
631,2066.858
632,1802.781
633,1731.869
634,1812.789
635,1752.634
636,1635.718
637,1648.231
638,1704.200
639,1707.286
640,1843.441
641,1998.126
642,1988.534
643,2017.398
644,2135.284
645,2065.139
646,1857.478
647,1682.716
648,1590.476
649,1623.753
650,1798.877
651,2026.749
652,2088.130
653,2022.816
654,1954.572
655,2070.505
656,2109.100
657,2034.068
658,1974.242
659,2128.010
660,2828.837
661,3764.974
662,4125.128
663,4420.441
664,4554.164
665,3696.803
666,2704.231
667,2194.925
668,1934.196
669,1765.698
670,1743.616
671,1915.307
672,2103.949
673,2426.067
674,3022.846
675,3606.016
676,4049.770
677,4376.106
678,4281.467
679,3888.727
680,3326.636
681,2761.324
682,2442.901
683,2304.805
684,2315.530
685,2279.083
686,2269.146
687,2412.458
688,2522.787
689,2419.073
690,2130.058
691,1809.405
692,1719.050
693,1714.425
694,1662.080
695,1641.644
696,1586.604
697,1590.476
698,1644.832
699,1674.253
700,1766.803
701,1795.157
702,1832.251
703,2028.328
704,2169.260
705,2100.211
706,2050.735
707,1990.132
708,1998.689
709,1936.534
710,1813.000
711,1915.091
712,2009.943
713,2052.695
714,2064.851
715,2089.799
716,2123.103
717,2233.425
718,2424.500
719,2458.124
720,2688.010
721,3128.003
722,3326.548
723,3531.354
724,3476.621
725,2959.708
726,2613.763
727,2504.656
728,2562.679
729,2496.915
730,2316.149
731,2193.549
732,2106.726
733,2013.243
734,1921.658
735,1959.592
736,1979.150
737,2067.703
738,2097.856
739,2054.676
740,2010.722
741,2127.099
742,2320.121
743,2397.188
744,2306.731
745,2530.378
746,2850.494
747,2706.874
748,2391.936
749,2261.972
750,2050.531
751,1835.108
752,1769.580
753,1707.182
754,1642.615
755,1660.243
756,1815.755
757,1908.761
758,1892.726
759,1823.674
760,1828.970
761,1918.707
762,1910.606
763,1813.149
764,1933.369
765,2081.461
766,2102.338
767,2171.084
768,2129.850
769,1982.129
770,1825.944
771,1685.076
772,1567.718
773,1543.180
774,1651.402
775,1748.187
776,1849.296
777,1898.484
778,1912.845
779,1949.827
780,2148.073
781,2493.086
782,2658.351
783,3081.559
784,3886.546
785,4726.066
786,5256.850
787,4887.601
788,4453.653
789,4005.524
790,3696.406
791,3427.842
792,2906.914
793,2498.143
794,2352.316
795,2197.561
796,2050.493
797,2091.572
798,2204.048
799,2162.115
800,1894.907
801,1846.789
802,2058.578
803,2219.688
804,2113.790
805,2138.423
806,2238.865
807,2226.971
808,2101.511
809,2004.774
810,1892.823
811,1891.879
812,2119.282
813,2231.500
814,2365.637
815,2388.099
816,2528.136
817,3082.752
818,3537.360
819,3288.228
820,2606.714
821,1965.620
822,1692.375
823,1750.521
824,2119.167
825,2391.157
826,2308.011
827,2361.725
828,2458.893
829,2491.500
830,2844.817
831,3324.956
832,3269.428
833,3033.470
834,2881.572
835,2578.897
836,2431.019
837,2422.418
838,2277.724
839,2136.279
840,2072.704
841,2021.331
842,1922.217
843,1884.310
844,1907.946
845,1925.127
846,1938.837
847,1992.578
848,1949.873
849,1867.391
850,1917.877
851,2084.687
852,2311.171
853,2651.054
854,3073.423
855,3395.418
856,3475.793
857,3534.330
858,3544.580
859,3426.752
860,3088.980
861,2404.253
862,2156.323
863,2547.386
864,2878.094
865,2695.885
866,2533.204
867,2398.403
868,2457.442
869,3060.189
870,3239.914
871,2612.263
872,1968.778
873,1835.931
874,1889.913
875,1869.507
876,2089.224
877,2392.656
878,2289.582
879,2067.138
880,2039.115
881,2031.514
882,2014.053
883,1950.726
884,2019.221
885,2140.159
886,2196.070
887,2230.206
888,2146.674
889,1951.163
890,1857.519
891,2006.677
892,2116.606
893,2151.576
894,2212.755
895,2162.261
896,2180.482
897,2182.482
898,2221.580
899,2189.223
900,2192.865
901,2595.527
902,3616.472
903,4289.155
904,3982.991
905,3211.946
906,2434.499
907,2284.106
908,2737.644
909,2977.104
910,2519.676
911,2284.952
912,2158.747
913,2236.782
914,2401.104
915,2408.650
916,2455.770
917,2486.594
918,2404.876
919,2446.532
920,2410.443
921,2246.295
922,2201.180
923,2253.543
924,2262.645
925,2148.447
926,2115.436
927,2089.238
928,2101.318
929,2298.104
930,2572.720
931,2689.208
932,2579.682
933,2498.862
934,2327.790
935,2198.924
936,2330.442
937,2315.780
938,2160.617
939,2134.907
940,2075.113
941,1841.239
942,1845.626
943,2113.659
944,2406.780
945,2508.620
946,2553.266
947,2523.980
948,2434.011
949,2287.052
950,2185.604
951,2657.817
952,3386.718
953,3330.026
954,2342.305
955,1958.314
956,2188.169
957,2358.765
958,2430.626
959,2446.735
960,2438.775
961,2432.719
962,2525.513
963,2430.893
964,2349.783
965,2273.678
966,2116.186
967,1967.446
968,1931.270
969,2102.454
970,2318.014
971,2349.810
972,2238.545
973,2322.960
