x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-29.7081;11.8752;-0.00694581;-0.124982;0.849276;2.93803;0.00308649;0.00855361
-29.3893;11.8752;-0.00674618;-0.126235;0.880613;2.6825;0.00360541;0.00715057
-29.0706;11.8752;-0.00652278;-0.12796;0.898762;100;0.00408393;0.00753297
-28.7518;11.8752;-0.0063201;-0.130055;0.897619;100;0.00443401;0.00808136
-28.4331;11.8752;-0.00618696;-0.132491;0.888971;100;0.00450841;0.00874389
-28.1143;11.8752;-0.00617717;-0.13531;0.875105;100;0.00435886;0.00995963
-27.7955;11.8752;-0.00632775;-0.138077;0.831476;100;0.00507306;0.0137281
-29.7081;11.5565;-0.00653342;-0.121778;0.905584;2.32848;0.0021493;0.00575697
-29.3893;11.5565;-0.00624797;-0.122744;0.929522;2.49153;0.00245441;0.00469513
-29.0706;11.5565;-0.00591961;-0.124118;0.950641;100;0.0026889;0.00465583
-28.7518;11.5565;-0.00559008;-0.125887;0.953037;100;0.00279691;0.00522735
-28.4331;11.5565;-0.00532246;-0.128064;0.952024;100;0.00276242;0.00575938
-28.1143;11.5565;-0.00516365;-0.130657;0.942878;100;0.0027461;0.00606398
-27.7955;11.5565;-0.00515305;-0.133336;0.913959;100;0.00342059;0.00758179
-27.4768;11.5565;-0.00413488;-0.12964;0.8688;100;0.00467769;0.00933793
-30.0269;11.2377;-0.00575453;-0.112145;0.922357;100;0.0014904;0.00414833
-29.7081;11.2377;-0.00606969;-0.118429;0.956649;2.30313;0.00161173;0.00347634
-29.3893;11.2377;-0.00568821;-0.11911;0.964587;100;0.00176823;0.00296792
-29.0706;11.2377;-0.00524268;-0.120114;0.970667;100;0.00194263;0.00299862
-28.7518;11.2377;-0.00476888;-0.1215;0.973609;100;0.0020139;0.0034443
-28.4331;11.2377;-0.00433267;-0.123334;0.97438;100;0.00194659;0.00363918
-28.1143;11.2377;-0.00396574;-0.125615;0.970636;100;0.00197712;0.00366458
-27.7955;11.2377;-0.00369936;-0.12812;0.951469;100;0.00254143;0.00451318
-27.4768;11.2377;-0.00254764;-0.126107;0.918303;100;0.00387884;0.00620283
-27.158;11.2377;-0.000757009;-0.123998;0.864648;100;0.00621787;0.00931582
49.6629;11.2377;-0.00526844;-0.101354;0.881265;100;0.00443702;0.00413356
49.9817;11.2377;-0.00471489;-0.0996556;0.872849;100;0.00407168;0.00369844
50.3005;11.2377;-0.00360139;-0.0975219;0.874528;100;0.00409468;0.00409969
50.6192;11.2377;-0.00220017;-0.0952603;0.870914;100;0.00428491;0.0041226
50.938;11.2377;-0.000894654;-0.0930862;0.860826;100;0.00436613;0.00341542
51.2567;11.2377;6.00308e-05;-0.0909385;0.842728;100;0.00390245;0.00294253
51.5755;11.2377;0.000426887;-0.0888655;0.821518;100;0.003698;0.00315628
51.8943;11.2377;0.000294405;-0.0867656;0.826683;2.79987;0.00384364;0.00399804
52.213;11.2377;-0.000166462;-0.0846798;0.820997;100;0.00408202;0.00492303
52.5318;11.2377;-0.000813802;-0.0828493;0.822092;100;0.00439374;0.00527338
52.8505;11.2377;-0.00156282;-0.0815758;0.832439;3.22117;0.0045763;0.00481203
53.1693;11.2377;-0.00235141;-0.0810612;0.841242;100;0.00405078;0.00407233
53.4881;11.2377;-0.00309756;-0.0812722;0.8497;100;0.00354298;0.00362729
53.8068;11.2377;-0.00370902;-0.082043;0.854732;100;0.00324176;0.00357205
54.1256;11.2377;-0.00417113;-0.0831834;0.865369;100;0.00325275;0.00412167
54.4443;11.2377;-0.00461095;-0.0845861;0.861967;100;0.00354584;0.00447241
54.7631;11.2377;-0.00525679;-0.0862738;0.84934;100;0.00457919;0.00493866
55.0819;11.2377;-0.00628914;-0.0883039;0.830072;1.83011;0.00640717;0.00570759
55.4006;11.2377;-0.00767866;-0.0906207;0.816482;1.86804;0.00684356;0.00536515
55.7194;11.2377;-0.00915581;-0.092997;0.819373;1.87836;0.00614208;0.00455892
56.0381;11.2377;-0.0103499;-0.0951284;0.830293;1.75935;0.00601453;0.00435352
56.3569;11.2377;-0.0109355;-0.0967602;0.841765;1.83815;0.00634929;0.00501585
56.6757;11.2377;-0.0108123;-0.0977747;0.854766;2.01486;0.00583818;0.00492436
56.9944;11.2377;-0.010177;-0.0982657;0.872176;100;0.00499192;0.00462377
57.3132;11.2377;-0.00941626;-0.0984925;0.895012;2.50383;0.00352208;0.00384528
57.6319;11.2377;-0.00890167;-0.0986963;0.907299;100;0.00263276;0.00321396
57.9507;11.2377;-0.00881655;-0.0989394;0.910795;100;0.00266352;0.00308787
58.2694;11.2377;-0.00910768;-0.0990589;0.909026;100;0.00316912;0.00324504
58.5882;11.2377;-0.0095441;-0.0987503;0.901407;100;0.00394073;0.00367317
58.907;11.2377;-0.00986447;-0.097692;0.89099;100;0.00482687;0.00440226
59.2257;11.2377;-0.00995843;-0.0957487;0.883754;100;0.00510723;0.00454466
59.5445;11.2377;-0.00986354;-0.0930727;0.878573;2.30669;0.00484788;0.00445423
59.8632;11.2377;-0.00962054;-0.0900158;0.874734;100;0.00489833;0.00412101
60.182;11.2377;-0.00914996;-0.0869956;0.86363;100;0.00546733;0.00390407
60.5008;11.2377;-0.00828376;-0.0843434;0.838923;100;0.00631489;0.00428063
60.8195;11.2377;-0.00703801;-0.0822849;0.802883;100;0.00793093;0.00516619
61.1383;11.2377;-0.00562821;-0.0808864;0.743704;100;0.0103286;0.00658358
61.457;11.2377;-0.00402209;-0.079943;0.679596;100;0.0109585;0.00895328
61.7758;11.2377;-0.00238225;-0.0793083;0.626683;100;0.0104832;0.0121473
-30.0269;10.919;-0.00551882;-0.111059;0.956501;100;0.00139938;0.00294162
-29.7081;10.919;-0.00555513;-0.11514;0.962583;2.53366;0.0014891;0.0024616
-29.3893;10.919;-0.0050736;-0.115565;0.972209;100;0.00154692;0.0022427
-29.0706;10.919;-0.00450845;-0.116211;0.976543;100;0.00165825;0.00221088
-28.7518;10.919;-0.00388385;-0.117179;0.97832;100;0.0017456;0.00238512
-28.4331;10.919;-0.0032565;-0.11859;0.978239;100;0.00176862;0.00266888
-28.1143;10.919;-0.00263091;-0.120467;0.975705;100;0.00179907;0.00276288
-27.7955;10.919;-0.00201655;-0.12269;0.966057;100;0.00222194;0.00343347
-27.4768;10.919;-0.000690921;-0.122162;0.944703;100;0.00349672;0.00489188
-27.158;10.919;0.00132237;-0.121147;0.906644;100;0.00569617;0.00717907
-26.8393;10.919;0.00496843;-0.119618;0.855474;100;0.00891933;0.0107852
-26.5205;10.919;0.00595434;-0.121135;0.80102;100;0.0121995;0.013701
-23.9704;10.919;0.0223605;-0.12116;0.487533;100;0.0240235;0.0398671
39.7814;10.919;0.0294532;-0.11847;0.791236;100;0.00596752;0.00919461
40.1002;10.919;0.0291363;-0.119312;0.778777;100;0.00525256;0.00742573
40.4189;10.919;0.0281901;-0.119437;0.785684;100;0.00522818;0.00581897
40.7377;10.919;0.0265874;-0.118732;0.804864;100;0.00552649;0.00520687
41.0565;10.919;0.0245039;-0.117358;0.818009;100;0.00606712;0.00526624
41.3752;10.919;0.0222227;-0.115739;0.815763;100;0.00794106;0.00569896
41.694;10.919;0.0202279;-0.114402;0.808946;100;0.00963071;0.00573833
42.0127;10.919;0.0187092;-0.113684;0.803494;100;0.00839359;0.00563472
42.3315;10.919;0.0175636;-0.113503;0.84204;2.40127;0.00790219;0.00542707
42.6502;10.919;0.0165263;-0.113341;0.881658;2.96432;0.00772229;0.00568119
42.969;10.919;0.0153444;-0.112496;0.89888;2.46928;0.00781311;0.00635111
43.2878;10.919;0.0138481;-0.110435;0.897118;100;0.0076362;0.00629902
43.6065;10.919;0.0120475;-0.107054;0.891114;100;0.00724422;0.00627555
43.9253;10.919;0.0101072;-0.102804;0.888207;100;0.00712743;0.00632402
44.244;10.919;0.0082011;-0.0985158;0.886542;100;0.00621008;0.00599842
44.5628;10.919;0.00641412;-0.0950728;0.881221;100;0.00571504;0.00603698
44.8816;10.919;0.00483928;-0.09307;0.874473;100;0.00536488;0.0062249
45.2003;10.919;0.00356957;-0.0926228;0.872301;100;0.00440637;0.00546348
45.5191;10.919;0.00266509;-0.0933982;0.875576;100;0.00392066;0.00418526
45.8378;10.919;0.00212055;-0.094863;0.87839;100;0.00417406;0.00360128
46.1566;10.919;0.00185023;-0.0965154;0.876993;100;0.00437799;0.00391948
46.4754;10.919;0.00170303;-0.0980072;0.8762;100;0.00496156;0.00425219
46.7941;10.919;0.00155465;-0.099154;0.879729;100;0.00545405;0.00449084
47.1129;10.919;0.0013582;-0.0999485;0.884295;100;0.00523766;0.00447288
47.4316;10.919;0.00108965;-0.10049;0.890166;100;0.00462787;0.00355593
47.7504;10.919;0.000669944;-0.100904;0.899411;100;0.00407481;0.00305178
48.0692;10.919;-3.25042e-05;-0.101333;0.908767;100;0.00387816;0.00290187
48.3879;10.919;-0.00114365;-0.101893;0.916101;100;0.0038142;0.0036865
48.7067;10.919;-0.00268762;-0.10254;0.918681;100;0.00415442;0.00445653
49.0254;10.919;-0.00449736;-0.103044;0.913821;100;0.00443426;0.00501088
49.3442;10.919;-0.00620041;-0.103108;0.909817;100;0.00452705;0.00493412
49.6629;10.919;-0.00613358;-0.101543;0.908002;100;0.00407723;0.00403612
49.9817;10.919;-0.00598505;-0.10013;0.91343;100;0.00352298;0.00359917
50.3005;10.919;-0.00520755;-0.0982902;0.918536;100;0.00320555;0.00389635
