x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-0.382245;8.05012;0.0222925;-0.0873458;0.968119;100;0.000887982;0.0013424
0.574032;8.05012;0.0229958;-0.0880454;0.98081;2.17591;0.00134197;0.00122515
1.53031;8.05012;0.0201517;-0.0861926;0.967261;100;0.00220951;0.00130344
-0.382245;7.09385;0.0227839;-0.0871356;0.975777;100;0.000865661;0.00101851
0.574032;7.09385;0.0215797;-0.0870769;0.995403;1.16196;0.00113534;0.000673381
1.53031;7.09385;0.0216347;-0.0844122;0.987392;100;0.00118891;0.0015839
-0.382245;6.13757;0.0227663;-0.0870029;0.954128;2.75839;0.00152935;0.000772485
0.574032;6.13757;0.0222323;-0.0881579;0.990921;100;0.00164736;0.000624709
1.53031;6.13757;0.0207547;-0.086144;0.940963;100;0.00128066;0.00139322
0.574032;-4.38149;0.0214326;-0.0767795;0.974418;100;0.00181556;0.00083289
-0.382245;-5.33776;0.0207748;-0.0768624;0.95296;100;0.00105657;0.00136743
0.574032;-5.33776;0.0218473;-0.0754034;0.971258;1.89926;0.00117007;0.00136037
1.53031;-5.33776;0.0240433;-0.0781597;0.951587;1.66231;0.00128715;0.00171285
-0.382245;-6.29404;0.0209293;-0.0784219;0.879889;100;0.00162427;0.00209597
0.574032;-6.29404;0.0235099;-0.0791838;0.98652;100;0.00162972;0.00193224
1.53031;-6.29404;0.0219056;-0.077234;0.972168;100;0.00156795;0.00137928
