x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-29.0706;12.5128;0.023482;-0.011343;0.982653;2.49705;0.00124383;0.00142339
-28.7518;12.5128;0.0235009;-0.011559;0.979753;2.76619;0.00146481;0.00140186
-28.4331;12.5128;0.0235326;-0.0118236;0.978193;3.06456;0.00161553;0.00139326
-28.1143;12.5128;0.0236073;-0.0121662;0.972986;2.80867;0.00171116;0.00161262
-27.7955;12.5128;0.0237346;-0.0125497;0.96289;100;0.00169224;0.00187059
-29.3893;12.194;0.0233511;-0.0103813;0.97968;2.70672;0.00117206;0.00123134
-29.0706;12.194;0.0234972;-0.0110299;0.98165;2.98831;0.00111397;0.00130891
-28.7518;12.194;0.0235616;-0.0112646;0.981643;100;0.00113916;0.00135114
-28.4331;12.194;0.0236369;-0.0115588;0.979459;100;0.00123096;0.00133488
-28.1143;12.194;0.0237507;-0.0119447;0.975681;100;0.00132709;0.00138728
-27.7955;12.194;0.0239213;-0.0123838;0.971365;2.89942;0.00136176;0.00145389
-27.4768;12.194;0.0245427;-0.0130142;0.969127;2.65988;0.00136047;0.00159437
-27.158;12.194;0.0250706;-0.0135446;0.965055;100;0.00139146;0.00197151
-26.8393;12.194;0.0256576;-0.0139162;0.963931;100;0.0015075;0.00203209
-29.7081;11.8752;0.0231309;-0.00966712;0.97684;2.97107;0.00139405;0.00129178
-29.3893;11.8752;0.0233641;-0.0101735;0.979868;2.58424;0.00124251;0.00113275
-29.0706;11.8752;0.0235323;-0.0106808;0.981885;100;0.00111509;0.00116012
-28.7518;11.8752;0.0236529;-0.010915;0.982657;100;0.00106886;0.00121086
-28.4331;11.8752;0.023781;-0.0112166;0.981689;100;0.00110245;0.00123632
-28.1143;11.8752;0.0239404;-0.0116194;0.978455;100;0.00116813;0.00128429
-27.7955;11.8752;0.0241581;-0.0120869;0.97564;100;0.00116676;0.00143573
-27.4768;11.8752;0.0247415;-0.0126366;0.975018;100;0.00114991;0.00165707
-27.158;11.8752;0.0253032;-0.0131495;0.974315;100;0.00119582;0.00176845
-26.8393;11.8752;0.0259394;-0.0134831;0.973068;2.50595;0.00130558;0.00191304
-26.5205;11.8752;0.0270415;-0.0131543;0.974947;100;0.00134068;0.00195043
-26.2017;11.8752;0.0275995;-0.0125953;0.975951;100;0.00148586;0.00192834
-25.883;11.8752;0.0279726;-0.0116768;0.971662;100;0.0019373;0.00186634
-29.7081;11.5565;0.0231487;-0.00958867;0.972554;2.35043;0.00133757;0.00116656
-29.3893;11.5565;0.0233803;-0.00994805;0.977399;2.50757;0.00124177;0.00109597
