x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-0.382245;8.05012;0.032412;0.000804288;0.991826;1.8891;0.000774049;0.00101613
0.574032;8.05012;0.0337233;0.000442005;0.985789;100;0.00120551;0.000966217
1.53031;8.05012;0.0339858;0.00137587;0.991013;100;0.001301;0.000972538
-0.382245;7.09385;0.0329972;0.00119826;0.977617;100;0.000814313;0.000864502
0.574032;7.09385;0.033734;0.000516559;0.996402;100;0.00101816;0.000553436
1.53031;7.09385;0.0334291;0.00159634;0.994487;100;0.000817205;0.000630732
-0.382245;6.13757;0.034451;6.98423e-05;0.990392;100;0.00103382;0.000756063
0.574032;6.13757;0.0346024;-0.000358939;0.996713;100;0.000975928;0.000677375
1.53031;6.13757;0.0329245;0.00135885;0.980174;100;0.000880979;0.000550027
0.574032;-4.38149;0.032869;-0.00528141;0.995385;100;0.0011225;0.00050744
1.53031;-4.38149;0.0331213;-0.00588013;0.995677;100;0.000983318;0.000603982
-0.382245;-5.33776;0.0326627;-0.00522381;0.975782;100;0.000612327;0.000785991
0.574032;-5.33776;0.0329519;-0.00527564;0.986783;1.90298;0.00068709;0.00082949
1.53031;-5.33776;0.0339509;-0.00621604;0.979692;1.77201;0.000736263;0.000968218
-0.382245;-6.29404;0.0327325;-0.00551146;0.979754;3.97164;0.000620087;0.00116388
0.574032;-6.29404;0.0341655;-0.00650878;0.993084;100;0.000793946;0.00105449
1.53031;-6.29404;0.0329334;-0.00549755;0.992554;100;0.000776007;0.000830739
