x,y,x-displacement,y-displacement
-29.3893,12.194,-0.0409746275,-0.0500016375
-29.0706,12.194,-0.041845507500000004,-0.05111463749999999
-28.7518,12.194,-0.0431212275,-0.053048637499999995
-28.4331,12.194,-0.0450137175,-0.05604263749999999
-28.1143,12.194,-0.0474426195,-0.059930637499999995
-29.7081,11.8752,-0.0397187575,-0.0416668375
-29.3893,11.8752,-0.040033427499999996,-0.04607663749999999
-29.0706,11.8752,-0.0411786975,-0.0469476375
-28.7518,11.8752,-0.0428002875,-0.0486956375
-28.4331,11.8752,-0.0450813475,-0.0516116375
-28.1143,11.8752,-0.0478300005,-0.05552863749999999
-27.7955,11.8752,-0.0537665075,-0.05683263749999999
-27.4768,11.8752,-0.056159087499999996,-0.06107863749999999
-27.158,11.8752,-0.0573599575,-0.0635926375
-26.8393,11.8752,-0.0574833575,-0.06434163749999999
-30.0269,11.5565,-0.0338172875,-0.0344706375
-29.7081,11.5565,-0.0371841875,-0.03810883749999999
-29.3893,11.5565,-0.0382047575,-0.041400337499999995
-29.0706,11.5565,-0.0395660475,-0.04206183749999999
-28.7518,11.5565,-0.0414586675,-0.04361633749999999
-28.4331,11.5565,-0.0440079075,-0.0463766375
-28.1143,11.5565,-0.0469008575,-0.0501666375
-27.7955,11.5565,-0.0512373075,-0.0516766375
-27.4768,11.5565,-0.0531335775,-0.055435637499999996
-27.158,11.5565,-0.0536858075,-0.0574666375
-26.8393,11.5565,-0.0531192075,-0.05774663749999999
-26.5205,11.5565,-0.0498915875,-0.0474176375
-26.2017,11.5565,-0.0474232065,-0.04455943749999999
-25.883,11.5565,-0.0452633075,-0.04164533749999999
-30.0269,11.2377,-0.0312484875,-0.031228837499999995
-29.7081,11.2377,-0.0340759875,-0.03399313749999999
-29.3893,11.2377,-0.0354007875,-0.03615283749999999
-29.0706,11.2377,-0.0368596875,-0.0366563375
-28.7518,11.2377,-0.0388713075,-0.03802183749999999
-28.4331,11.2377,-0.0414736375,-0.040539337499999994
-28.1143,11.2377,-0.0442455375,-0.04401153749999999
-27.7955,11.2377,-0.0471527185,-0.04580023749999999
-27.4768,11.2377,-0.0483845675,-0.0489196375
-27.158,11.2377,-0.0481932405,-0.0503716375
-26.8393,11.2377,-0.0469060475,-0.0501086375
-26.5205,11.2377,-0.0428131775,-0.041853937499999994
-26.2017,11.2377,-0.0423982775,-0.04095233749999999
-25.883,11.2377,-0.0403846875,-0.03832603749999999
61.1383,11.2377,-0.0176210875,0.005172862500000007
-30.3456,10.919,-0.0227481875,-0.0209856375
-30.0269,10.919,-0.0284570875,-0.027701037499999998
-29.7081,10.919,-0.0305528875,-0.029544037499999995
-29.3893,10.919,-0.0318100875,-0.030765437499999992
-29.0706,10.919,-0.0331916875,-0.031177137499999993
-28.7518,10.919,-0.0350947875,-0.03236773749999999
-28.4331,10.919,-0.0374577875,-0.0345637375
-28.1143,10.919,-0.0397905375,-0.0375406375
-27.7955,10.919,-0.0415018075,-0.0394343375
-27.4768,10.919,-0.0419098175,-0.0417388375
-27.158,10.919,-0.0409122175,-0.042456237499999994
-26.8393,10.919,-0.0389372475,-0.041542237499999995
-26.5205,10.919,-0.0347337875,-0.03517553749999999
-26.2017,10.919,-0.0352650875,-0.03512143749999999
-25.883,10.919,-0.0335220875,-0.032783337499999995
44.8816,10.919,-0.006257187499999997,-0.0129993375
45.2003,10.919,-0.007596987499999999,-0.01124133749999999
45.5191,10.919,-0.008894187499999998,-0.009455137500000002
45.8378,10.919,-0.009962087500000001,-0.007605437499999992
46.1566,10.919,-0.010738687499999996,-0.0056912374999999946
46.4754,10.919,-0.011323587500000003,-0.0036936374999999924
46.7941,10.919,-0.011783487500000002,-0.0017257374999999978
47.1129,10.919,-0.0121542875,0.00010556250000000322
47.4316,10.919,-0.012331987500000002,0.0016588625000000037
47.7504,10.919,-0.0121581875,0.002799762500000004
48.0692,10.919,-0.011554587499999998,0.003463762500000002
48.3879,10.919,-0.0106376875,0.0037287625000000033
48.7067,10.919,-0.0096659875,0.003825762500000003
49.0254,10.919,-0.008903087499999997,0.004023362500000002
49.3442,10.919,-0.0084584875,0.004454062500000001
49.6629,10.919,-0.0082716875,0.005028962500000005
49.9817,10.919,-0.0082335875,0.005455662500000007
50.3005,10.919,-0.0082798875,0.005377362500000003
50.6192,10.919,-0.0084584875,0.004584762500000006
50.938,10.919,-0.0089089875,0.0031707625000000073
51.2567,10.919,-0.0097588875,0.001475962500000004
51.5755,10.919,-0.011025887499999998,-8.623749999999569e-05
51.8943,10.919,-0.012555787499999999,-0.0011850374999999927
52.213,10.919,-0.014115287499999997,-0.0016618374999999921
52.5318,10.919,-0.015494387499999998,-0.0015421374999999918
52.8505,10.919,-0.0165604875,-0.0009429374999999976
53.1693,10.919,-0.0173153875,-8.237499999994013e-06
53.4881,10.919,-0.0178655875,0.001079362500000007
53.8068,10.919,-0.0183748875,0.0020604625000000057
54.1256,10.919,-0.0190061875,0.0026547625000000047
54.4443,10.919,-0.0198838875,0.0026328625000000064
54.7631,10.919,-0.0210231875,0.0019003625000000024
55.0819,10.919,-0.0222627875,0.0005569625000000078
