x,y,x-displacement,y-displacement
-29.7081,11.8752,-0.038189740588235294,-0.04977843529411766
-29.3893,11.8752,-0.038014060588235296,-0.050654435294117645
-29.7081,11.5565,-0.037732490588235294,-0.04593643529411766
-29.3893,11.5565,-0.03745138058823529,-0.04671643529411765
-29.0706,11.5565,-0.03649429058823529,-0.04305743529411765
-28.7518,11.5565,-0.0361465705882353,-0.044988435294117654
-28.4331,11.5565,-0.0358362405882353,-0.047446435294117656
-28.1143,11.5565,-0.0355866505882353,-0.05030943529411766
-27.7955,11.5565,-0.0353354905882353,-0.05326043529411764
-30.0269,11.2377,-0.0368897805882353,-0.03389643529411765
-29.7081,11.2377,-0.037203580588235294,-0.04180743529411765
-29.3893,11.2377,-0.0367928705882353,-0.04245943529411765
-29.0706,11.2377,-0.035856560588235296,-0.039967435294117656
-28.7518,11.2377,-0.0353843205882353,-0.04162343529411766
-28.4331,11.2377,-0.034933430588235295,-0.04383343529411765
-28.1143,11.2377,-0.0344850605882353,-0.046473435294117654
-27.7955,11.2377,-0.0339428905882353,-0.04928943529411767
-27.4768,11.2377,-0.031787410588235296,-0.04675743529411766
49.6629,11.2377,-0.027856770588235297,-0.024047435294117653
49.9817,11.2377,-0.027176970588235295,-0.021870435294117654
50.3005,11.2377,-0.025882070588235294,-0.01938423529411766
50.6192,11.2377,-0.024224170588235297,-0.016925535294117652
50.938,11.2377,-0.022569070588235297,-0.014689235294117656
51.2567,11.2377,-0.021192370588235296,-0.01255683529411765
51.5755,11.2377,-0.020386470588235294,-0.010503635294117658
51.8943,11.2377,-0.020152970588235296,-0.008393435294117652
52.213,11.2377,-0.020403770588235295,-0.006281935294117649
52.5318,11.2377,-0.021053170588235297,-0.004480335294117649
52.8505,11.2377,-0.022007670588235297,-0.003385435294117653
53.1693,11.2377,-0.023116370588235294,-0.0032756352941176597
53.4881,11.2377,-0.024158970588235296,-0.004127835294117657
53.8068,11.2377,-0.024920570588235297,-0.005692735294117651
54.1256,11.2377,-0.025326870588235295,-0.007625135294117652
54.4443,11.2377,-0.025556170588235297,-0.00963323529411765
54.7631,11.2377,-0.025992670588235296,-0.01160373529411765
55.0819,11.2377,-0.026996470588235295,-0.013529735294117662
55.4006,11.2377,-0.028655570588235296,-0.015360935294117653
55.7194,11.2377,-0.030699230588235295,-0.016950735294117655
56.0381,11.2377,-0.032637880588235295,-0.01812333529411765
56.3569,11.2377,-0.0339454205882353,-0.018770235294117657
56.6757,11.2377,-0.034310470588235296,-0.018905235294117653
56.9944,11.2377,-0.033767480588235296,-0.018724835294117656
57.3132,11.2377,-0.032626490588235295,-0.01852903529411766
57.6319,11.2377,-0.0312863405882353,-0.01853623529411766
57.9507,11.2377,-0.030056210588235294,-0.018742735294117657
58.2694,11.2377,-0.029077870588235296,-0.018885535294117656
58.5882,11.2377,-0.028354170588235295,-0.01856633529411765
58.907,11.2377,-0.027833570588235296,-0.017414535294117656
59.2257,11.2377,-0.027552570588235296,-0.015300935294117662
59.5445,11.2377,-0.027592970588235295,-0.012421535294117658
59.8632,11.2377,-0.027917970588235294,-0.009182635294117655
60.182,11.2377,-0.028262570588235295,-0.006038035294117658
60.5008,11.2377,-0.028244470588235294,-0.0033212352941176526
60.8195,11.2377,-0.027733370588235294,-0.001254435294117659
61.1383,11.2377,-0.026814470588235294,0.000131864705882348
61.457,11.2377,-0.025477870588235293,0.0010555647058823475
61.7758,11.2377,-0.023935870588235295,0.001675664705882346
-30.0269,10.919,-0.036639260588235294,-0.03239943529411765
-29.7081,10.919,-0.036609190588235294,-0.03765743529411765
-29.3893,10.919,-0.0360528505882353,-0.03816743529411766
-29.0706,10.919,-0.035135640588235297,-0.036759435294117654
-28.7518,10.919,-0.0345210105882353,-0.03808643529411765
-28.4331,10.919,-0.033902710588235296,-0.03995443529411766
-28.1143,10.919,-0.0332069905882353,-0.042268435294117654
-27.7955,10.919,-0.032299170588235296,-0.04484543529411765
-27.4768,10.919,-0.029926450588235294,-0.04361143529411765
-27.158,10.919,-0.025684670588235294,-0.04208443529411765
-23.9704,10.919,-0.008365970588235294,-0.06018843529411766
-23.6517,10.919,-0.005417470588235294,-0.06019943529411764
39.7814,10.919,0.007161929411764703,-0.04273743529411765
40.1002,10.919,0.007147529411764705,-0.04356743529411766
40.4189,10.919,0.0064128294117647075,-0.04362343529411765
40.7377,10.919,0.004913229411764704,-0.04277243529411766
41.0565,10.919,0.002789929411764702,-0.04113543529411766
41.3752,10.919,0.0002715294117647052,-0.03904843529411765
41.694,10.919,-0.0022198705882352926,-0.03695043529411765
42.0127,10.919,-0.004508770588235296,-0.03511643529411766
42.3315,10.919,-0.006623570588235296,-0.03353043529411766
42.6502,10.919,-0.008672770588235297,-0.03189743529411765
42.969,10.919,-0.010699270588235294,-0.029848435294117653
43.2878,10.919,-0.012661670588235297,-0.027200435294117656
43.6065,10.919,-0.014427470588235295,-0.024076435294117654
43.9253,10.919,-0.015820070588235296,-0.020901935294117657
44.244,10.919,-0.016757770588235296,-0.018245535294117654
44.5628,10.919,-0.017341970588235295,-0.016603635294117652
44.8816,10.919,-0.017726570588235294,-0.01620733529411765
45.2003,10.919,-0.018053270588235297,-0.016934835294117656
45.5191,10.919,-0.018411170588235295,-0.018385035294117655
45.8378,10.919,-0.018856870588235295,-0.02008173529411765
46.1566,10.919,-0.019423570588235295,-0.02164143529411766
46.4754,10.919,-0.020125970588235297,-0.02287643529411766
46.7941,10.919,-0.020912970588235297,-0.023793435294117662
47.1129,10.919,-0.021687770588235296,-0.02454443529411765
47.4316,10.919,-0.022386670588235295,-0.025297435294117654
47.7504,10.919,-0.023064770588235296,-0.02614043529411765
48.0692,10.919,-0.023886970588235294,-0.02708043529411766
48.3879,10.919,-0.025040370588235297,-0.02806343529411766
48.7067,10.919,-0.026602270588235298,-0.02891143529411766
49.0254,10.919,-0.028427470588235297,-0.029338435294117657
49.3442,10.919,-0.030134260588235297,-0.02908243529411765
49.6629,10.919,-0.029387370588235297,-0.02536443529411765
49.9817,10.919,-0.029170270588235295,-0.023606435294117656
50.3005,10.919,-0.028221870588235297,-0.02145943529411766
50.6192,10.919,-0.026765170588235295,-0.019219235294117662
50.938,10.919,-0.025149470588235294,-0.01707783529411766
51.2567,10.919,-0.023669470588235295,-0.014977535294117661
51.5755,10.919,-0.022607970588235295,-0.012910235294117653
51.8943,10.919,-0.022010970588235295,-0.010798835294117654
52.213,10.919,-0.021836970588235294,-0.008721635294117652
52.5318,10.919,-0.022029270588235297,-0.006963035294117653
52.8505,10.919,-0.022508970588235297,-0.005872635294117662
53.1693,10.919,-0.023138870588235296,-0.00568303529411765
53.4881,10.919,-0.023730770588235296,-0.006361235294117654
53.8068,10.919,-0.024118770588235295,-0.007683235294117657
54.1256,10.919,-0.024268670588235296,-0.00935133529411765
54.4443,10.919,-0.024360470588235296,-0.011119735294117652
54.7631,10.919,-0.024740170588235296,-0.012899435294117662
55.0819,10.919,-0.025716470588235295,-0.014687235294117654
55.4006,10.919,-0.027343970588235296,-0.016427135294117656
55.7194,10.919,-0.029359470588235296,-0.01796483529411766
56.0381,10.919,-0.031313300588235296,-0.01912523529411765
56.3569,10.919,-0.03272965058823529,-0.01980323529411765
56.6757,10.919,-0.0333191405882353,-0.020012835294117653
56.9944,10.919,-0.0330923005882353,-0.019941435294117654
57.3132,10.919,-0.0323053605882353,-0.01987793529411766
57.6319,10.919,-0.031299550588235296,-0.020031235294117655
57.9507,10.919,-0.030339230588235296,-0.020398935294117654
58.2694,10.919,-0.029540770588235295,-0.02072873529411766
58.5882,10.919,-0.028894770588235294,-0.020627335294117657
58.907,10.919,-0.028342570588235298,-0.019714635294117655
59.2257,10.919,-0.027910470588235294,-0.017824335294117657
59.5445,10.919,-0.027691570588235296,-0.01510203529411766
59.8632,10.919,-0.027697070588235298,-0.011913135294117652
60.182,10.919,-0.027744670588235296,-0.008698535294117654
60.5008,10.919,-0.027541870588235297,-0.005824735294117658
60.8195,10.919,-0.0269521705882353,-0.003554835294117653
61.1383,10.919,-0.026076470588235298,-0.0019927352941176563
61.457,10.919,-0.024864270588235295,-0.0009452352941176495
61.7758,10.919,-0.023484170588235296,-0.0002614352941176512
62.0946,10.919,-0.020153070588235296,-0.0018601352941176597
-30.3456,10.6002,-0.036588990588235296,-0.02774543529411766
-30.0269,10.6002,-0.0363269605882353,-0.030753435294117656
-29.7081,10.6002,-0.035968300588235295,-0.03383943529411766
-29.3893,10.6002,-0.0352595305882353,-0.034220435294117654
-29.0706,10.6002,-0.034334570588235296,-0.033623435294117654
-28.7518,10.6002,-0.03357122058823529,-0.03458443529411766
-28.4331,10.6002,-0.0327716705882353,-0.03601743529411766
-28.1143,10.6002,-0.031801070588235295,-0.03788943529411766
-27.7955,10.6002,-0.030486790588235294,-0.04009643529411766
-27.4768,10.6002,-0.027949770588235296,-0.03996043529411765
-27.158,10.6002,-0.023868370588235297,-0.03916643529411766
-26.8393,10.6002,-0.017403970588235295,-0.036828435294117653
-26.5205,10.6002,-0.014761670588235295,-0.03737843529411766
-26.2017,10.6002,-0.013156270588235295,-0.03775243529411766
-25.883,10.6002,-0.012631270588235297,-0.03846543529411765
-25.5642,10.6002,-0.012824970588235295,-0.04010243529411765
-24.9267,10.6002,-0.012898370588235297,-0.04590343529411765
-24.6079,10.6002,-0.011340370588235296,-0.04872943529411766
-24.2892,10.6002,-0.008067170588235292,-0.05105143529411765
