x,y,x-displacement,y-displacement
-29.0706,12.5128,-0.0099089705882353,-0.009084662076470589
-28.7518,12.5128,-0.009890070588235298,-0.009300662076470588
-28.4331,12.5128,-0.009858370588235299,-0.009565262076470588
-28.1143,12.5128,-0.009783670588235299,-0.009907862076470588
-27.7955,12.5128,-0.009656370588235298,-0.010291362076470589
-29.3893,12.194,-0.0100398705882353,-0.008122962076470588
-29.0706,12.194,-0.0098937705882353,-0.008771562076470589
-28.7518,12.194,-0.009829370588235301,-0.009006262076470588
-28.4331,12.194,-0.0097540705882353,-0.009300462076470587
-28.1143,12.194,-0.0096402705882353,-0.009686362076470589
-27.7955,12.194,-0.0094696705882353,-0.010125462076470589
-27.4768,12.194,-0.008848270588235299,-0.010755862076470588
-27.158,12.194,-0.008320370588235301,-0.011286262076470589
-26.8393,12.194,-0.007733370588235301,-0.011657862076470588
-29.7081,11.8752,-0.0102600705882353,-0.007408782076470588
-29.3893,11.8752,-0.010026870588235301,-0.007915162076470588
-29.0706,11.8752,-0.0098586705882353,-0.008422462076470589
-28.7518,11.8752,-0.009738070588235299,-0.008656662076470588
-28.4331,11.8752,-0.0096099705882353,-0.008958262076470588
-28.1143,11.8752,-0.0094505705882353,-0.009361062076470588
-27.7955,11.8752,-0.009232870588235301,-0.009828562076470588
-27.4768,11.8752,-0.0086494705882353,-0.010378262076470588
-27.158,11.8752,-0.008087770588235298,-0.010891162076470588
-26.8393,11.8752,-0.007451570588235298,-0.011224762076470588
-26.5205,11.8752,-0.0063494705882353,-0.010895962076470589
-26.2017,11.8752,-0.005791470588235301,-0.010336962076470588
-25.883,11.8752,-0.0054183705882352995,-0.009418462076470588
-29.7081,11.5565,-0.010242270588235299,-0.007330332076470589
-29.3893,11.5565,-0.0100106705882353,-0.007689712076470588
-29.0706,11.5565,-0.0098079705882353,-0.008047962076470587
-28.7518,11.5565,-0.0096227705882353,-0.008254962076470588
-28.4331,11.5565,-0.009430970588235301,-0.008531462076470589
-28.1143,11.5565,-0.0092160705882353,-0.008912262076470587
-27.7955,11.5565,-0.008943670588235298,-0.009368462076470588
-27.4768,11.5565,-0.0083876705882353,-0.009848762076470589
-27.158,11.5565,-0.007789270588235298,-0.010322462076470588
-26.8393,11.5565,-0.007105070588235299,-0.010603262076470589
-26.5205,11.5565,-0.006096670588235299,-0.010221962076470588
-26.2017,11.5565,-0.005519670588235298,-0.009599562076470588
-25.883,11.5565,-0.005117570588235299,-0.008603862076470589
-25.5642,11.5565,-0.004738670588235301,-0.006097252076470588
-25.2455,11.5565,-0.004597170588235298,-0.004704282076470589
-24.9267,11.5565,-0.0044444705882353,-0.0036881120764705884
-30.0269,11.2377,-0.010382470588235299,-0.007080432076470588
-29.7081,11.2377,-0.010229570588235301,-0.007219612076470589
-29.3893,11.2377,-0.009991770588235301,-0.007447412076470589
-29.0706,11.2377,-0.009746370588235298,-0.007666842076470589
-28.7518,11.2377,-0.0094937705882353,-0.007818062076470587
-28.4331,11.2377,-0.0092319705882353,-0.008031962076470589
-28.1143,11.2377,-0.008952270588235299,-0.008345762076470588
-27.7955,11.2377,-0.0086156705882353,-0.008744062076470589
-27.4768,11.2377,-0.008065570588235298,-0.009157062076470587
-27.158,11.2377,-0.007424770588235301,-0.009569562076470589
-26.8393,11.2377,-0.006693770588235299,-0.009788662076470589
-26.5205,11.2377,-0.0057669705882353005,-0.009410962076470589
