x,x_displacement,y_displacement
-31.3019,-0.0054966235294117635,-0.00429893882352941
-30.9831,-0.004995823529411764,-0.00422961882352941
-30.6644,-0.004551323529411764,-0.00416904882352941
-30.3456,-0.004218323529411764,-0.00411646882352941
-30.0269,-0.004039423529411765,-0.00407520882352941
-29.7081,-0.003937723529411765,-0.00402966882352941
-29.3893,-0.004000823529411765,-0.00400218882352941
-29.0706,-0.004073323529411765,-0.00397262882352941
-28.7518,-0.004054523529411765,-0.00392431882352941
-28.4331,-0.003912323529411763,-0.0038357788235294102
-28.1143,-0.003658923529411766,-0.0036866388235294104
-27.7955,-0.003331523529411764,-0.0034803688235294098
-27.4768,-0.002978923529411766,-0.00325383882352941
-27.158,-0.0026520235294117643,-0.0030736888235294102
-26.8393,-0.0023967235294117643,-0.00301530882352941
-26.5205,-0.0022335235294117656,-0.0031255188235294103
-26.2017,-0.0021421235294117637,-0.00338933882352941
-25.883,-0.0020713235294117643,-0.0037262188235294104
-25.5642,-0.0019704235294117634,-0.00402506882352941
-25.2455,-0.001821923529411764,-0.00419173882352941
-24.9267,-0.0016444235294117635,-0.00417471882352941
-24.6079,-0.0014651235294117632,-0.00397697882352941
-24.2892,-0.0012879235294117643,-0.00365443882352941
-23.9704,-0.0010900235294117634,-0.00329837882352941
-23.6517,-0.0008431235294117656,-0.0029988788235294104
-23.3329,-0.000531023529411763,-0.0028132688235294103
-23.0141,-0.00015202352941176556,-0.00274085882352941
-22.6954,0.000273176470588235,-0.0026967288235294103
-22.3766,0.0007084764705882346,-0.00254825882352941
-22.0579,0.0011145764705882341,-0.00220066882352941
-21.7391,0.0014553764705882363,-0.00164023882352941
-21.4204,0.0017028764705882375,-0.0009461088235294098
-21.1016,0.0018563764705882384,-0.0003021588235294099
-20.7828,0.0019477764705882368,6.233117647059042e-05
-20.4641,0.002028376470588237,8.411176470589712e-06
-20.1453,0.0021511764705882362,-0.00043722882352940917
-19.8266,0.0023900764705882364,-0.0011162888235294096
-19.5078,0.0028571764705882345,-0.0018004088235294103
-19.189,0.003671076470588234,-0.0022567888235294096
-18.8703,0.004909876470588239,-0.0023479688235294102
-18.5515,0.006559376470588237,-0.0020841688235294104
-18.2328,0.008464876470588235,-0.00159115882352941
-17.914,0.010347076470588235,-0.00104961882352941
-17.5952,0.011919676470588236,-0.0006314688235294092
-17.2765,0.013047976470588234,-0.0004250088235294106
-16.9577,0.013820376470588234,-0.0004105788235294096
-16.639,0.014512276470588236,-0.0004939988235294103
-16.3202,0.015456576470588238,-0.0005569088235294097
-16.0014,0.016833076470588234,-0.0005107088235294099
-15.6827,0.018542976470588234,-0.0003401788235294096
-15.3639,0.020281876470588236,-8.311882352940968e-05
-15.0452,0.021769276470588236,0.00022672117647059079
-14.7264,0.022939976470588232,0.0005947811764705907
-14.4077,0.02398697647058824,0.0010575311764705903
-14.0889,0.025257076470588235,0.0016469911764705903
-13.7701,0.027071076470588238,0.0023219911764705906
-13.4514,0.029568876470588232,0.00292939117647059
-13.1326,0.03264207647058824,0.00328279117647059
-12.8139,0.03601267647058823,0.0032618911764705893
-12.4951,0.039396176470588226,0.002878091176470589
-12.1763,0.042608776470588236,0.0022673911764705904
-11.8576,0.04558417647058824,0.0016129911764705893
-11.5388,0.04839597647058823,0.0010557211764705907
-11.2201,0.05122417647058823,0.0006617011764705905
-10.9013,0.05424617647058823,0.0004385911764705902
-10.5825,0.05757507647058824,0.0003982011764705907
-10.2638,0.061262576470588234,0.0006026911764705906
-9.94502,0.06525017647058823,0.0011252611764705905
-9.62626,0.06931197647058823,0.00197889117647059
-9.3075,0.07312157647058823,0.0031072911764705897
-8.98874,0.07637557647058824,0.0042622911764705895
-8.66998,0.07892557647058823,0.005181291176470589
-8.35123,0.08087257647058824,0.0056390911764705905
-8.03247,0.08282957647058824,0.00596199117647059
-7.71371,0.08493557647058823,0.0048876911764705894
-7.39495,0.08823957647058824,0.00392449117647059
-7.07619,0.09261257647058824,0.00292759117647059
-6.75743,0.09755457647058824,0.0020614911764705902
-6.43867,0.10220857647058823,0.0012606311764705898
-6.11991,0.10586657647058823,0.00042176117647058954
-5.80115,0.10826557647058824,-0.0006306888235294104
-5.48239,0.10981457647058823,-0.0019358988235294097
-5.16363,0.11129857647058825,-0.0033160688235294097
-4.84487,0.11344957647058823,-0.00442107882352941
-4.52611,0.11648757647058824,-0.00491061882352941
-4.20736,0.12026557647058822,-0.0047009488235294095
-3.8886,0.12416357647058823,-0.00394713882352941
-3.56984,0.12753757647058822,-0.00305647882352941
-3.25108,0.12910057647058823,-0.0014653488235294096
