x,x_displacement,y_displacement
-31.3019,-0.02346769,-0.004493425000000009
-30.9831,-0.023093370000000002,-0.003920525000000008
-30.6644,-0.022607292,-0.0032467250000000197
-30.3456,-0.02198596393,-0.002539125000000017
-30.0269,-0.021205539000000002,-0.001926725000000018
-29.7081,-0.020174920000000002,-0.0014674250000000083
-29.3893,-0.018950770000000002,-0.0013524250000000182
-29.0706,-0.01752553,-0.0014761250000000087
-28.7518,-0.01593178,-0.0016506250000000167
-28.4331,-0.01423742,-0.0016759250000000087
-28.1143,-0.012530330000000001,-0.0014370250000000084
-27.7955,-0.01089675,-0.000975325000000013
-27.4768,-0.009401950000000001,-0.00046022500000000854
-27.158,-0.00808065,-0.00010412500000001046
-26.8393,-0.006931350000000001,-7.002500000001521e-05
-26.5205,-0.00590535,-0.00038952500000001555
-26.2017,-0.004897749999999999,-0.0009225250000000074
-25.883,-0.0037704500000000016,-0.0014210250000000063
-25.5642,-0.0024258500000000002,-0.0016739250000000067
-25.2455,-0.0008613500000000003,-0.0016046250000000123
-24.9267,0.0008453499999999982,-0.0012632250000000067
-24.6079,0.0026044499999999977,-0.0007837250000000129
-24.2892,0.004384249999999999,-0.0003438250000000198
-23.9704,0.00622265,-0.00010202500000001946
-23.6517,0.00819125,-0.0001412250000000087
-23.3329,0.01031675,-0.00044342500000001117
-23.0141,0.012521049999999999,-0.0008957250000000139
-22.6954,0.014646949999999999,-0.0012858250000000182
-22.3766,0.01656055,-0.001325425000000019
-22.0579,0.01821995,-0.0007661250000000064
-21.7391,0.01967525,0.0004678749999999926
-21.4204,0.02106135,0.0021921749999999907
-21.1016,0.02256205,0.003994674999999989
-20.7828,0.024337150000000002,0.005388174999999981
-20.4641,0.026530949999999998,0.005971874999999988
-20.1453,0.02927925,0.005605574999999988
-19.8266,0.03265605,0.004462374999999991
-19.5078,0.03659045,0.0029129749999999843
-19.189,0.04084765,0.0013408749999999914
-18.8703,0.045101749999999996,-1.152500000001222e-05
-18.5515,0.049050250000000004,-0.0010452250000000107
-18.2328,0.052517949999999994,-0.0017166250000000133
-17.914,0.05549994999999999,-0.0019664250000000078
-17.5952,0.05814115,-0.0016894250000000083
-17.2765,0.060748949999999996,-0.0008131250000000118
-16.9577,0.06375605,0.0005548749999999825
-16.639,0.06759785,0.002067574999999988
-16.3202,0.07261415,0.003254274999999987
-16.0014,0.07892485,0.0037280749999999835
-15.6827,0.08630085,0.0033333749999999857
-15.3639,0.09422585,0.0022188749999999813
-15.0452,0.10214184999999999,0.0008152749999999903
-14.7264,0.10966984999999999,-0.00037202500000001193
-14.4077,0.11680784999999999,-0.0011082250000000182
-14.0889,0.12401085,-0.0015556250000000188
-13.7701,0.13194185,-0.00210742500000001
-13.4514,0.14104885,-0.003085925000000017
-13.1326,0.15134685,-0.004481525000000014
-12.8139,0.16243185,-0.005860725000000011
-12.4951,0.17372385,-0.006560125000000014
-12.1763,0.18485085,-0.006038525000000017
-11.8576,0.19591385,-0.0042197250000000075
-11.5388,0.20739185,-0.0015946250000000162
-11.2201,0.21985785,0.0009826749999999884
-10.9013,0.23366985,0.0026292749999999865
-10.5825,0.24865985000000002,0.0027735749999999865
-10.2638,0.26410985,0.0013892749999999815
-9.94502,0.27914885,-0.0010068250000000167
-9.62626,0.29319385,-0.003654325000000014
-9.3075,0.30624185,-0.005871725000000008
-8.98874,0.31885185,-0.007146425000000012
-8.66998,0.33186485,-0.0072253250000000185
-8.35123,0.34598385,-0.006238325000000017
-8.03247,0.36146585,-0.00454992500000001
-7.71371,0.37804885,-0.002559425000000018
-7.39495,0.39504885,-0.000664525000000013
-7.07619,0.41159985,0.0007423749999999896
-6.75743,0.42692585,0.0014526749999999866
-6.43867,0.44046785,0.0014304749999999866
-6.11991,0.45194885,0.0006620749999999842
-5.80115,0.46135685,-0.0007619250000000105
-5.48239,0.46884685,-0.0025894250000000063
-5.16363,0.47471985,-0.0045365250000000135
-4.84487,0.47942085,-0.006375425000000018
-4.52611,0.48342284999999996,-0.00791982500000002
-4.20736,0.48703085,-0.00904642500000001
-3.8886,0.49020385,-0.009752225000000017
-3.56984,0.49258884999999997,-0.009988825000000007
-3.25108,0.49370285,-0.009604925000000014
-2.93232,0.49322485000000005,-0.008471725000000013
-2.61356,0.49136785000000005,-0.006597925000000018
-2.2948,0.48898584999999994,-0.0041803250000000125
-1.97604,0.48737584999999994,-0.0015890250000000078
-1.65728,0.48786785,0.0006225749999999863
-1.33852,0.49142085,0.001825674999999985
-1.01976,0.49812685,0.0015607749999999865
-0.701004,0.50727885,-0.0004352250000000113
-0.382245,0.51720885,-0.004196225000000012
-0.063486,0.52553285,-0.009443725000000014
0.255273,0.53014085,-0.014210625000000018
0.574032,0.53053885,-0.020272625000000016
0.892792,0.52736685,-0.027086625000000017
1.21155,0.52200485,-0.030822625000000006
1.53031,0.51694885,-0.03282062500000002
1.84907,0.51362785,-0.033468625000000016
2.16783,0.51171785,-0.03358662500000001
2.48659,0.50952385,-0.033843625000000016
2.80535,0.50479585,-0.034175625000000015
3.12411,0.49560384999999996,-0.03393062500000002
3.44287,0.48168985,-0.032413625000000015
3.76162,0.46447385,-0.02941162500000001
4.08038,0.44625985,-0.025487625000000014
4.39914,0.42912485,-0.021827625000000017
4.7179,0.41443085,-0.019791625000000007
5.03666,0.40277085,-0.02001262500000002
5.35542,0.39416085,-0.02211262500000001
5.67418,0.38868185,-0.02523562500000001
5.99294,0.38641285,-0.02826762500000002
6.3117,0.38627685,-0.03034962500000002
6.63046,0.38807185,-0.03131962500000002
6.94922,0.39127785,-0.031208625000000018
8.86177,0.32852385,-0.01617942500000001
9.18053,0.31684285,-0.015226125000000007
9.49929,0.30388385,-0.014162325000000017
9.81805,0.28999785,-0.013427825000000018
10.1368,0.27681185,-0.013561925000000016
10.4556,0.26417485,-0.014732625000000013
10.7743,0.25570985,-0.016824325000000015
11.0931,0.25115385,-0.019283625000000013
11.4118,0.24977085,-0.021117625000000015
11.7306,0.25006985,-0.02161362500000001
12.0494,0.25015785,-0.02090462500000001
12.3681,0.24843785000000002,-0.019707625000000006
12.6869,0.24393585,-0.018840625000000014
13.0056,0.23653585,-0.01884662500000002
13.3244,0.22691285,-0.01980862500000001
13.6432,0.21618985,-0.02139062500000001
13.9619,0.20551285,-0.023062625000000017
14.2807,0.19573085,-0.024320625000000012
14.5994,0.18721885,-0.024880625000000017
14.9182,0.17990385,-0.02471962500000001
15.237,0.17345085,-0.024015625000000013
15.5557,0.16749885,-0.02302762500000001
15.8745,0.16175985,-0.022036625000000018
16.1932,0.15611485,-0.02122462500000001
16.512,0.15062185,-0.020629625000000013
16.8308,0.14541584999999999,-0.02020662500000002
17.1495,0.14062185,-0.019911625000000016
17.4683,0.13628985,-0.019680625000000007
17.787,0.13232285,-0.019463625000000012
18.1058,0.12851285,-0.019278625000000008
18.4245,0.12466485,-0.01914162500000001
18.7433,0.12068085,-0.018973625000000008
19.0621,0.11658584999999999,-0.018650625000000018
19.3808,0.11251285,-0.01809662500000002
19.6996,0.10860685,-0.01736062500000002
20.0183,0.10489884999999999,-0.016620425000000008
20.3371,0.10127985,-0.016115325000000014
20.6559,0.09758085,-0.015997025000000012
20.9746,0.09367085,-0.01619192500000001
21.2934,0.08952485,-0.01644962500000001
21.6121,0.08525985,-0.01650422500000001
21.9309,0.08110185,-0.016197825000000013
22.2497,0.07728605,-0.015529525000000016
22.5684,0.07396615,-0.014637325000000007
22.8872,0.07116694999999999,-0.013719225000000015
23.2059,0.06878905,-0.012904925000000012
23.5247,0.06667725,-0.01219672500000002
23.8435,0.06466975,-0.011486725000000017
24.1622,0.06259585,-0.010585125000000015
24.481,0.06027225,-0.009269725000000006
24.7997,0.05750785,-0.007366825000000007
25.1185,0.05413965,-0.004809525000000009
25.4372,0.050088350000000004,-0.00161612500000001
25.756,0.04539295,0.002107174999999989
26.0748,0.040185649999999996,0.006117074999999986
26.3935,0.034641649999999996,0.010007874999999986
26.7123,0.028969349999999998,0.013251974999999985
27.031,0.02340305,0.015315574999999984
27.3498,0.018117349999999997,0.015821474999999988
27.6686,0.01325275,0.01468887499999999
27.9873,0.008911349999999998,0.012171374999999984
28.3061,0.005127549999999998,0.00876387499999999
28.6248,0.0018473499999999976,0.005019074999999984
28.9436,-0.0010384499999999998,0.0013656749999999829
29.2624,-0.003641850000000002,-0.001966225000000016
29.5811,-0.006027850000000001,-0.004914225000000008
29.8999,-0.008162150000000002,-0.007460425000000007
30.2186,-0.009898750000000001,-0.009538925000000018
30.5374,-0.011125550000000001,-0.011041725000000016
30.8562,-0.011837450000000001,-0.011889225000000017
31.1749,-0.01214667,-0.012106425000000018
31.4937,-0.012259770000000001,-0.01183092500000002
31.8124,-0.01242377,-0.011261825000000017
32.1312,-0.012829730000000001,-0.010575625000000019
