"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.613373633,      -2.372367148,      -2.652175218,       1.358540516
          0,           0,           1,      -4.641660249,      -2.401964441,       -2.73357025,       1.329854276
          0,           0,           2,      -4.678285928,      -2.434453663,      -2.835019564,       1.292880841
          0,           0,           3,      -4.735842468,      -2.477992871,      -2.883986794,       1.234998076
          0,           0,           4,      -4.831108577,      -2.549736256,      -2.867101698,       1.139238087
          0,           0,           5,      -4.952462538,      -2.646049843,      -2.897308216,       1.017260678
          0,           0,           6,      -5.054897316,      -2.720570163,      -2.994280379,      0.9150024351
          0,           0,           7,        -5.1227478,      -2.728288006,      -3.097459574,      0.8483738959
          0,           0,           8,      -5.144571754,       -2.69347342,       -3.17415246,      0.8271047545
          0,           0,           9,      -5.160342217,      -2.739451509,      -3.184962147,      0.8109042566
          0,           0,          10,      -5.217561384,      -2.764059481,      -3.270142716,      0.7533903418
          0,           0,          11,      -5.215761947,       -2.80641157,      -3.274562444,       0.755032475
          0,           0,          12,      -5.251136079,       -2.78757531,      -3.348779971,      0.7194467613
          0,           0,          13,      -5.240645506,      -2.832911294,      -3.310463124,      0.7298253958
          0,           0,          14,      -5.280185921,      -2.824647174,      -3.365556463,      0.6900224884
          0,           0,          15,      -5.278930839,      -2.885192102,      -3.318252499,      0.6909501956
          0,           0,          16,       -5.32585764,      -2.878177831,      -3.377807543,      0.6436886733
          0,           0,          17,      -5.327597768,      -2.937876976,      -3.339279902,      0.6416910837
          0,           0,          18,      -5.368575325,      -2.922809568,      -3.401722593,      0.6005639536
          0,           0,          19,      -5.371614013,      -2.979312067,      -3.370789224,      0.5973912582
          0,           0,          20,      -5.409229983,      -2.969382177,      -3.428487881,      0.5595043938
          0,           0,          21,      -5.412299537,      -3.019466708,      -3.403248984,      0.5562708447
          0,           0,          22,      -5.442198836,      -3.000366546,      -3.452414041,      0.5261324551
          0,           0,          23,      -5.437288333,      -3.035334599,      -3.426844218,      0.5311872611
          0,           0,          24,      -5.457215159,      -3.002418465,      -3.468611954,      0.5113586476
          0,           0,          25,      -5.445151777,      -3.031884181,      -3.437586004,      0.5237146918
          0,           0,          26,      -5.462616133,      -2.997834573,      -3.475212846,      0.5064797167
          0,           0,          27,      -5.449288576,      -3.030890701,      -3.439918382,      0.5199872115
          0,           0,          28,       -5.46776025,      -2.996233163,      -3.480130646,      0.5017414113
          0,           0,          29,      -5.454418759,       -3.03259659,      -3.444472517,      0.5151689534
          0,           0,          30,      -5.472236142,      -2.995337948,      -3.494016104,      0.4976094655
          0,           0,          31,      -5.458508646,      -3.033602735,      -3.458892022,      0.5113538438
          0,           0,          32,      -5.476845638,      -2.998750094,       -3.51835681,      0.4932254508
          0,           0,          33,      -5.465537664,      -3.041044931,      -3.481855767,      0.5045045919
          0,           0,          34,       -5.48833711,       -3.01487738,      -3.545447695,      0.4817206325
          0,           0,          35,      -5.481364572,      -3.060758255,      -3.506884661,      0.4886409012
          0,           0,          36,      -5.509189217,       -3.04316798,      -3.566382436,      0.4607077553
          0,           0,          37,      -5.506174299,      -3.092205915,      -3.527709431,      0.4636044559
          0,           0,          38,      -5.536476675,      -3.078401464,      -3.577534401,      0.4329898282
          0,           0,          39,      -5.535864189,      -3.130497201,      -3.541012611,      0.4333743087
          0,           0,          40,      -5.565454951,      -3.113602775,      -3.582199867,      0.4036409427
          0,           0,          41,      -5.565243258,      -3.166480493,      -3.549191611,      0.4036156412
          0,           0,          42,      -5.591295014,      -3.140765056,       -3.58769094,      0.3775720753
          0,           0,          43,      -5.589736192,      -3.192556047,      -3.558056535,         0.3789152
          0,           0,          44,      -5.610849978,      -3.156906432,       -3.60053284,      0.3579862839
          0,           0,          45,      -5.608185168,      -3.208955798,       -3.57323572,      0.3603883839
          0,           0,          46,      -5.626197214,      -3.168573072,      -3.623792895,      0.3426603985
          0,           0,          47,      -5.624304087,      -3.222413176,      -3.597495086,      0.3442829859
          0,           0,          48,      -5.642922994,       -3.18447515,      -3.656521626,      0.3259153814
          0,           0,          49,      -5.644519243,      -3.242543487,      -3.630551406,       0.323984395
          0,           0,          50,      -5.666771143,      -3.211718744,      -3.696373735,      0.3019601296
          0,           0,          51,      -5.673488337,      -3.275582755,      -3.671094375,      0.2948234792
          0,           0,          52,      -5.700060697,      -3.252480222,      -3.741073461,      0.2683948592
          0,           0,          53,        -5.7119274,      -3.321587557,      -3.718001706,      0.2559557601
          0,           0,          54,      -5.742224563,      -3.305667052,      -3.789723167,      0.2257965007
          0,           0,          55,      -5.758226353,      -3.378443296,      -3.770320483,      0.2092052352
          0,           0,          56,      -5.790536087,      -3.367803793,      -3.842556902,      0.1770138866
          0,           0,          57,      -5.809208394,      -3.443879721,      -3.827678024,      0.1577471277
          0,           0,          58,      -5.841272771,      -3.435584953,      -3.899847866,      0.1259487279
          0,           0,          59,      -5.860107178,      -3.512385639,      -3.889357577,      0.1065233281
          0,           0,          60,      -5.890063296,      -3.503573036,      -3.962170841,     0.07696653708
          0,           0,          61,      -5.907203802,       -3.58145002,      -3.954306825,     0.05930807856
          0,           0,          62,       -5.93455886,      -3.570940675,      -4.029638066,     0.03262040451
          0,           0,          63,      -5.947950812,      -3.648676211,      -4.021598125,     0.01882645074
          0,           0,          64,      -5.973143104,      -3.635885288,      -4.102331352,   -0.005632779501
          0,           0,          65,      -5.981488154,      -3.712765213,      -4.089108817,    -0.01425583788
          0,           0,          66,      -6.005489447,      -3.698574194,      -4.178069556,    -0.03763013303
          0,           0,          67,      -6.008768574,      -3.774472521,      -4.155099753,    -0.04096233117
          0,           0,          68,      -6.032139515,      -3.757299884,      -4.254804674,    -0.06385473557
