x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-0.382245;8.05012;0.0361332;-0.019127;0.989044;100;0.00116334;0.00114684
0.574032;8.05012;0.0373921;-0.0194097;0.983145;2.12841;0.0011769;0.00111184
1.53031;8.05012;0.034814;-0.0168584;0.986159;100;0.00210634;0.00149059
-0.382245;7.09385;0.0362;-0.0191909;0.975409;100;0.00104805;0.00116774
0.574032;7.09385;0.0347853;-0.0188114;0.995281;100;0.000964773;0.000818769
1.53031;7.09385;0.0360968;-0.0172197;0.990607;100;0.0010716;0.00118141
-0.382245;6.13757;0.0363301;-0.0192742;0.988452;2.63324;0.00112074;0.0010479
0.574032;6.13757;0.0362082;-0.0191473;0.995213;100;0.00117744;0.000748577
1.53031;6.13757;0.0355273;-0.0189006;0.977299;100;0.00106767;0.000849194
0.574032;-4.38149;0.0348011;-0.0172459;0.992514;100;0.0015118;0.000751827
1.53031;-4.38149;0.035453;-0.0182411;0.994443;100;0.00139126;0.000818284
-0.382245;-5.33776;0.0353748;-0.0161302;0.971263;100;0.000699403;0.00116004
0.574032;-5.33776;0.0352359;-0.0167374;0.98264;1.90135;0.000796541;0.00107407
1.53031;-5.33776;0.0370139;-0.0176186;0.970335;1.73987;0.000952236;0.00141519
-0.382245;-6.29404;0.0360168;-0.0161614;0.978616;3.96023;0.000553979;0.00130957
0.574032;-6.29404;0.0367134;-0.0179628;0.992649;100;0.000676219;0.00146322
1.53031;-6.29404;0.0352127;-0.0158044;0.989148;100;0.00101395;0.00106149
