"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.452975108,      -2.323779245,       -2.61428269,       1.544984925
          0,           0,           1,      -4.481087417,      -2.350761594,      -2.683239135,       1.516652081
          0,           0,           2,      -4.520165867,      -2.383526792,      -2.763342811,       1.477363135
          0,           0,           3,        -4.5875373,      -2.430571872,      -2.793766449,       1.409725235
          0,           0,           4,      -4.700458105,       -2.51183869,      -2.788079552,       1.296355294
          0,           0,           5,       -4.83089261,      -2.630074349,      -2.835001078,       1.165282963
          0,           0,           6,      -4.924802398,      -2.714757397,      -2.940626531,       1.071085303
          0,           0,           7,      -5.001253284,      -2.730325712,      -3.071791453,      0.9948454103
          0,           0,           8,      -5.055921362,      -2.717996021,      -3.187836456,       0.940640233
          0,           0,           9,      -5.075787621,      -2.712998047,      -3.250500439,      0.9209886896
          0,           0,          10,      -5.076864256,      -2.725346573,      -3.279233704,      0.9200860241
          0,           0,          11,       -5.10690485,      -2.754423325,      -3.283538098,      0.8899855055
          0,           0,          12,      -5.143162973,      -2.778139118,      -3.289304376,      0.8535956253
          0,           0,          13,      -5.158835686,       -2.79217626,      -3.298627294,       0.837932236
          0,           0,          14,      -5.170529322,      -2.810587773,      -3.307970217,      0.8262579835
          0,           0,          15,      -5.193990395,      -2.842079463,      -3.319348648,      0.8027110895
          0,           0,          16,       -5.23061793,      -2.888515864,      -3.333734638,      0.7659121046
          0,           0,          17,      -5.274779862,      -2.942069457,       -3.35193227,      0.7214823546
          0,           0,          18,      -5.315198602,      -2.988183993,      -3.371911474,      0.6807869633
          0,           0,          19,      -5.343174116,       -3.01244339,      -3.392632192,      0.6526049094
          0,           0,          20,      -5.356542837,      -3.011333681,      -3.411676344,      0.6391680768
          0,           0,          21,      -5.358281545,      -2.996391278,      -3.426794161,      0.6374345839
          0,           0,          22,      -5.353024002,      -2.979594206,      -3.438332603,       0.642701241
          0,           0,          23,      -5.344553784,      -2.965458189,      -3.447589632,      0.6511898399
          0,           0,          24,       -5.33621203,       -2.95558776,      -3.455425541,      0.6595438875
          0,           0,          25,      -5.330636717,      -2.951022985,      -3.462570994,      0.6650870182
          0,           0,          26,      -5.329657368,      -2.952758596,      -3.468115763,       0.666072805
          0,           0,          27,      -5.334395846,       -2.96237152,      -3.472024866,      0.6612789041
          0,           0,          28,      -5.345086432,      -2.980035998,       -3.47427702,      0.6505508473
          0,           0,          29,      -5.360628461,      -3.003433215,      -3.476373566,      0.6349708417
          0,           0,          30,       -5.37883399,      -3.027751596,      -3.479347208,      0.6167173551
          0,           0,          31,      -5.396817452,       -3.04788657,      -3.483523486,      0.5986803376
          0,           0,          32,      -5.411939531,      -3.060364418,      -3.488788545,      0.5835081261
          0,           0,          33,      -5.422185362,      -3.063830041,      -3.494400842,      0.5732382918
          0,           0,          34,      -5.427281731,      -3.060177304,      -3.500120418,      0.5681506035
          0,           0,          35,      -5.428534106,      -3.052895688,       -3.50581647,      0.5669354024
          0,           0,          36,      -5.427764046,      -3.045275087,      -3.511552404,      0.5677281066
          0,           0,          37,      -5.426779826,      -3.039418335,      -3.517110276,      0.5687260579
          0,           0,          38,      -5.427025392,      -3.036844656,      -3.522625244,      0.5684644126
          0,           0,          39,      -5.429440893,      -3.038225627,      -3.528232131,      0.5660101625
          0,           0,          40,      -5.434419242,      -3.043734785,      -3.533988081,      0.5609658873
          0,           0,          41,      -5.442037421,      -3.053056763,      -3.540215364,      0.5532613752
          0,           0,          42,      -5.451909552,       -3.06548372,      -3.547033463,      0.5432531866
          0,           0,          43,      -5.463329661,      -3.079659523,      -3.554699653,      0.5316590633
          0,           0,          44,      -5.475556345,      -3.094610475,      -3.563211565,      0.5192438509
          0,           0,          45,      -5.487754015,      -3.108856662,      -3.572400299,      0.5069032225
