x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
47.4316;11.2377;0.0326519;-0.00459526;0.970256;100;0.00311703;0.00196192
47.7504;11.2377;0.0323453;-0.00389051;0.969099;100;0.00269044;0.00178807
48.0692;11.2377;0.0323379;-0.00306816;0.970452;100;0.0030799;0.00165495
48.3879;11.2377;0.0326575;-0.00200843;0.972756;2.66137;0.00335513;0.00164138
48.7067;11.2377;0.0331608;-0.000525533;0.967884;2.36547;0.00345505;0.00178614
49.0254;11.2377;0.0335765;0.00154439;0.970801;100;0.00332194;0.00198028
49.3442;11.2377;0.0336903;0.00415177;0.971207;100;0.00248727;0.00227508
49.6629;11.2377;0.0334298;0.00702352;0.970504;100;0.00217724;0.00259522
49.9817;11.2377;0.0329361;0.0097153;0.966907;100;0.00209394;0.00254421
50.3005;11.2377;0.0324795;0.0117682;0.967405;100;0.00211394;0.00217482
50.6192;11.2377;0.0322841;0.0128849;0.964911;100;0.0020512;0.00201464
50.938;11.2377;0.0323945;0.0130695;0.959468;100;0.00209219;0.0019373
51.2567;11.2377;0.0326744;0.0126187;0.962008;100;0.00222001;0.00182661
51.5755;11.2377;0.0328856;0.0119483;0.959418;100;0.00229854;0.00193733
51.8943;11.2377;0.0328193;0.0113975;0.961791;100;0.00234135;0.00200228
52.213;11.2377;0.032368;0.0111226;0.967068;100;0.00238768;0.00211181
52.5318;11.2377;0.0315362;0.0110782;0.972115;2.69139;0.00250945;0.00212379
52.8505;11.2377;0.0304139;0.0111075;0.973979;2.52155;0.0025269;0.00189302
53.1693;11.2377;0.0291529;0.0110568;0.979797;2.62465;0.00233739;0.00160479
53.4881;11.2377;0.0279158;0.0108502;0.98111;2.84418;0.00199583;0.0014304
53.8068;11.2377;0.0268077;0.0104614;0.980974;2.91098;0.00177329;0.0014427
54.1256;11.2377;0.0258337;0.00987429;0.980774;100;0.00176936;0.00166608
54.4443;11.2377;0.0249239;0.00908315;0.978877;2.08108;0.00185417;0.00198697
54.7631;11.2377;0.0239497;0.00811322;0.976703;1.88625;0.00215688;0.00256189
55.0819;11.2377;0.0228065;0.00705398;0.973504;100;0.00288503;0.00292001
55.4006;11.2377;0.0215272;0.00607461;0.969279;2.03446;0.00308351;0.00263347
55.7194;11.2377;0.0202974;0.00536808;0.968986;1.84323;0.00319533;0.00209821
56.0381;11.2377;0.0193605;0.00504458;0.967808;1.75982;0.003663;0.00174862
56.3569;11.2377;0.0189303;0.00506394;0.968826;1.82465;0.00417404;0.00168494
56.6757;11.2377;0.019089;0.00525531;0.972344;2.00146;0.00371099;0.00190156
56.9944;11.2377;0.0197276;0.00538692;0.975408;100;0.0028595;0.00203053
57.3132;11.2377;0.0205781;0.00524014;0.981095;2.31426;0.0019568;0.00169722
57.6319;11.2377;0.0213494;0.00469453;0.984007;2.40038;0.00152396;0.00175708
57.9507;11.2377;0.0218502;0.0037723;0.984171;100;0.00147047;0.00181885
58.2694;11.2377;0.0220355;0.00262063;0.980849;100;0.00167681;0.00187975
58.5882;11.2377;0.0219865;0.00146944;0.98127;100;0.00181813;0.00185724
58.907;11.2377;0.0218414;0.000580636;0.980357;100;0.00222548;0.00179698
59.2257;11.2377;0.0216946;0.000160946;0.976894;100;0.00213842;0.00211434
59.5445;11.2377;0.0215696;0.000269159;0.975822;100;0.00201151;0.00221762
