x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-29.3893;12.194;0.00717036;-0.103997;0.664737;2.14192;0.013126;0.0133387
-29.0706;12.194;0.00629948;-0.10511;0.637706;2.2239;0.0134202;0.0109843
-28.7518;12.194;0.00502376;-0.107044;0.544353;100;0.0155891;0.0122464
-28.4331;12.194;0.00313127;-0.110038;0.425111;100;0.0176356;0.0155333
-28.1143;12.194;0.000702368;-0.113926;0.317208;100;0.0187251;0.0167174
-29.7081;11.8752;0.00842623;-0.0956622;0.64977;2.13127;0.0123949;0.0130654
-29.3893;11.8752;0.00811156;-0.100072;0.711239;2.1567;0.0117696;0.0113523
-29.0706;11.8752;0.00696629;-0.100943;0.693506;1.84436;0.0113117;0.0106407
-28.7518;11.8752;0.0053447;-0.102691;0.645326;100;0.0127113;0.0124956
-28.4331;11.8752;0.00306364;-0.105607;0.563057;100;0.0144548;0.0161783
-28.1143;11.8752;0.000314987;-0.109524;0.491831;1.81191;0.0160173;0.0176223
-27.7955;11.8752;-0.00562152;-0.110828;0.486251;1.68464;0.0172327;0.0175978
-27.4768;11.8752;-0.0080141;-0.115074;0.540131;100;0.0179951;0.0172916
-27.158;11.8752;-0.00921497;-0.117588;0.572515;100;0.0183231;0.0169479
-26.8393;11.8752;-0.00933837;-0.118337;0.503236;1.75015;0.0185811;0.0177152
-30.0269;11.5565;0.0143277;-0.088466;0.657159;1.62055;0.00821357;0.0104284
-29.7081;11.5565;0.0109608;-0.0921042;0.71103;2.04686;0.00923743;0.0109208
-29.3893;11.5565;0.00994023;-0.0953957;0.752849;1.9059;0.0100341;0.0099478
-29.0706;11.5565;0.00857894;-0.0960572;0.756605;1.94578;0.00995985;0.0095549
-28.7518;11.5565;0.00668632;-0.0976117;0.724181;1.9593;0.0104301;0.0113977
-28.4331;11.5565;0.00413708;-0.100372;0.672083;100;0.0118602;0.0139048
-28.1143;11.5565;0.00124413;-0.104162;0.617209;1.98825;0.0133227;0.0161523
-27.7955;11.5565;-0.00309232;-0.105672;0.600762;1.73025;0.0142593;0.0175164
-27.4768;11.5565;-0.00498859;-0.109431;0.636672;100;0.0149991;0.0178807
-27.158;11.5565;-0.00554082;-0.111462;0.668631;1.62989;0.0163664;0.0182543
-26.8393;11.5565;-0.00497422;-0.111742;0.663054;1.564;0.0171084;0.0180486
-26.5205;11.5565;-0.0017466;-0.101413;0.648545;100;0.0146686;0.0188751
-26.2017;11.5565;0.000721781;-0.0985548;0.630854;100;0.0160348;0.0228286
-25.883;11.5565;0.00288168;-0.0956407;0.488954;100;0.0206709;0.0237809
-30.0269;11.2377;0.0168965;-0.0852242;0.801178;2.24707;0.00510719;0.00778947
-29.7081;11.2377;0.014069;-0.0879885;0.801083;1.91751;0.0059617;0.00843379
-29.3893;11.2377;0.0127442;-0.0901482;0.81347;2.05482;0.00731896;0.00814825
-29.0706;11.2377;0.0112853;-0.0906517;0.817262;100;0.00800954;0.0083773
-28.7518;11.2377;0.00927368;-0.0920172;0.796294;100;0.00809285;0.010653
-28.4331;11.2377;0.00667135;-0.0945347;0.758009;100;0.00959454;0.012408
-28.1143;11.2377;0.00389945;-0.0980069;0.711839;100;0.0111131;0.0142523
-27.7955;11.2377;0.000992269;-0.0997956;0.694505;1.87988;0.0124009;0.0158985
-27.4768;11.2377;-0.00023958;-0.102915;0.710194;100;0.0132738;0.0167446
-27.158;11.2377;-4.8253e-05;-0.104367;0.739633;1.56546;0.0151114;0.0178363
-26.8393;11.2377;0.00123894;-0.104104;0.749396;1.51656;0.0157882;0.0171849
-26.5205;11.2377;0.00533181;-0.0958493;0.736562;1.48279;0.0143778;0.0177414
-26.2017;11.2377;0.00574671;-0.0949477;0.708834;1.50805;0.0158479;0.0178756
-25.883;11.2377;0.0077603;-0.0923214;0.649847;100;0.0198783;0.0183394
61.1383;11.2377;0.0305239;-0.0488225;0.879249;3.85361;0.00746582;0.00622925
-30.3456;10.919;0.0253968;-0.074981;0.873379;2.5629;0.00298448;0.00527475
-30.0269;10.919;0.0196879;-0.0816964;0.886077;2.1186;0.00342002;0.00566781
-29.7081;10.919;0.0175921;-0.0835394;0.879456;2.15133;0.00395386;0.00642788
-29.3893;10.919;0.0163349;-0.0847608;0.878747;100;0.00469752;0.00678726
-29.0706;10.919;0.0149533;-0.0851725;0.875233;100;0.00544876;0.00731576
-28.7518;10.919;0.0130502;-0.0863631;0.85792;100;0.00621097;0.00895869
-28.4331;10.919;0.0106872;-0.0885591;0.828615;100;0.00773872;0.00995501
-28.1143;10.919;0.00835445;-0.091536;0.791823;100;0.00910963;0.0112329
-27.7955;10.919;0.00664318;-0.0934297;0.773325;2.11652;0.0104326;0.0124802
-27.4768;10.919;0.00623517;-0.0957342;0.778768;1.82291;0.0113065;0.0134939
-27.158;10.919;0.00723277;-0.0964516;0.792454;1.75443;0.0130688;0.0153188
-26.8393;10.919;0.00920774;-0.0955376;0.791958;1.70755;0.0147855;0.017449
-26.5205;10.919;0.0134112;-0.0891709;0.769685;1.72943;0.0162051;0.0178553
-26.2017;10.919;0.0128799;-0.0891168;0.732279;1.87879;0.0186565;0.0179888
-25.883;10.919;0.0146229;-0.0867787;0.695917;1.88852;0.021674;0.0200629
44.8816;10.919;0.0418878;-0.0669947;0.831176;100;0.00397891;0.00337761
45.2003;10.919;0.040548;-0.0652367;0.83685;100;0.00345765;0.00272232
45.5191;10.919;0.0392508;-0.0634505;0.832336;100;0.00312485;0.002661
45.8378;10.919;0.0381829;-0.0616008;0.832961;100;0.00320658;0.00268737
46.1566;10.919;0.0374063;-0.0596866;0.832677;100;0.00324418;0.00249488
46.4754;10.919;0.0368214;-0.057689;0.842744;100;0.00343043;0.0024793
46.7941;10.919;0.0363615;-0.0557211;0.836751;100;0.00332476;0.00239183
47.1129;10.919;0.0359907;-0.0538898;0.828126;100;0.00301056;0.00243235
47.4316;10.919;0.035813;-0.0523365;0.8375;100;0.00308392;0.00234901
47.7504;10.919;0.0359868;-0.0511956;0.857255;2.58916;0.00323816;0.00243588
48.0692;10.919;0.0365904;-0.0505316;0.873314;2.5722;0.00301163;0.00261263
48.3879;10.919;0.0375073;-0.0502666;0.879738;2.36591;0.00288225;0.0026271
48.7067;10.919;0.038479;-0.0501696;0.878999;100;0.00316887;0.00297064
49.0254;10.919;0.0392419;-0.049972;0.876774;100;0.00338316;0.00292055
49.3442;10.919;0.0396865;-0.0495413;0.875874;100;0.00341046;0.00269047
49.6629;10.919;0.0398733;-0.0489664;0.875208;100;0.00336602;0.00277642
49.9817;10.919;0.0399114;-0.0485397;0.887033;100;0.00297544;0.00310385
50.3005;10.919;0.0398651;-0.048618;0.90232;100;0.00257092;0.00346152
50.6192;10.919;0.0396865;-0.0494106;0.905354;100;0.00289648;0.00352604
50.938;10.919;0.039236;-0.0508246;0.902858;100;0.00323255;0.00335515
51.2567;10.919;0.0383861;-0.0525194;0.886118;100;0.00349746;0.00319586
51.5755;10.919;0.0371191;-0.0540816;0.872956;100;0.00326448;0.00309736
51.8943;10.919;0.0355892;-0.0551804;0.872395;100;0.00291129;0.00314876
52.213;10.919;0.0340297;-0.0556572;0.882492;2.75057;0.00299422;0.00311481
52.5318;10.919;0.0326506;-0.0555375;0.885371;2.42709;0.00319518;0.00287967
52.8505;10.919;0.0315845;-0.0549383;0.884744;2.34987;0.00336829;0.00278439
53.1693;10.919;0.0308296;-0.0540036;0.887497;2.43488;0.00307852;0.00277249
53.4881;10.919;0.0302794;-0.052916;0.895195;2.47772;0.00270838;0.00281072
