"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -6.500687025,      -4.184415859,      -4.777668083,     -0.4789574254
          0,           0,          76,      -6.530873796,      -4.196782991,      -4.812859933,     -0.5091187393
          0,           0,          77,      -6.560843167,      -4.208952536,      -4.848627643,     -0.5390695425
          0,           0,          78,      -6.589958387,      -4.220797581,      -4.884554052,     -0.5681498496
          0,           0,          79,      -6.617705035,      -4.232812221,      -4.919973853,     -0.5958680041
          0,           0,          80,       -6.64319234,      -4.244966875,        -4.9538529,     -0.6212991389
          0,           0,          81,      -6.665856548,      -4.257609629,      -4.984847034,     -0.6439151456
          0,           0,          82,      -6.684879787,      -4.270686805,      -5.011499689,     -0.6628636935
          0,           0,          83,      -6.699944219,      -4.284339008,      -5.032428796,     -0.6778622174
          0,           0,          84,      -6.710743612,        -4.2985695,      -5.046683506,     -0.6885774408
          0,           0,          85,      -6.717578063,      -4.313477768,      -5.054069262,     -0.6953441623
          0,           0,          86,       -6.72080999,      -4.329016788,      -5.055347571,     -0.6985023878
          0,           0,          87,      -6.721248845,        -4.3452993,      -5.051749984,     -0.6988880327
          0,           0,          88,      -6.719599847,        -4.3623129,      -5.044814974,     -0.6971889411
          0,           0,          89,      -6.716700899,      -4.380069971,      -5.036018587,      -0.694259181
          0,           0,          90,       -6.71319041,       -4.39849917,      -5.026534163,     -0.6907251385
          0,           0,          91,      -6.709653824,      -4.417454012,      -5.017234183,     -0.6871771009
          0,           0,          92,      -6.706539268,      -4.436928786,      -5.008733318,     -0.6840595666
          0,           0,          93,      -6.704182388,      -4.456721322,      -5.001410805,     -0.6817070758
          0,           0,          94,      -6.702829654,      -4.476743698,      -4.995568613,     -0.6803655245
          0,           0,          95,      -6.702662281,       -4.49682823,      -4.991348482,      -0.680215839
          0,           0,          96,      -6.703802075,      -4.516746497,       -4.98888051,     -0.6813790791
          0,           0,          97,      -6.706339648,      -4.536313545,      -4.988239434,     -0.6839470431
          0,           0,          98,      -6.710335452,      -4.555352952,      -4.989444608,     -0.6879796418
          0,           0,          99,      -6.715838925,      -4.573692768,      -4.992533675,     -0.6935272613
          0,           0,         100,      -6.722888911,      -4.591184012,      -4.997542068,     -0.7006296249
          0,           0,         101,      -6.731512636,      -4.607693196,      -5.004477038,     -0.7093149852
          0,           0,         102,      -6.741730639,      -4.623144834,      -5.013348566,     -0.7196051992
          0,           0,         103,      -6.753558456,       -4.63751874,      -5.024154575,      -0.731517254
          0,           0,         104,      -6.767004357,       -4.65079565,      -5.036884012,     -0.7450610006
          0,           0,         105,      -6.782072248,      -4.663046338,       -5.05152482,     -0.7602422407
          0,           0,         106,      -6.798755992,      -4.674344505,      -5.068063155,     -0.7770568125
          0,           0,         107,      -6.817038093,      -4.684805706,      -5.086479031,     -0.7954893467
          0,           0,         108,      -6.836885545,      -4.694536164,      -5.106743856,     -0.8155099137
          0,           0,         109,       -6.85824889,      -4.703669534,       -5.12881817,     -0.8370712623
          0,           0,         110,      -6.881052395,      -4.712346298,      -5.152652619,     -0.8601000972
          0,           0,         111,      -6.905187554,      -4.720687315,       -5.17816575,     -0.8844901273
          0,           0,         112,      -6.930506543,      -4.728852364,      -5.205228859,     -0.9100954999
          0,           0,         113,      -6.956810117,      -4.737004965,      -5.233666522,     -0.9367180579
          0,           0,         114,      -6.983821427,      -4.745280792,      -5.263213575,     -0.9640796762
          0,           0,         115,      -7.011179361,      -4.753790559,        -5.2934856,      -0.991814591
          0,           0,         116,      -7.038418378,      -4.762621317,      -5.323969823,      -1.019447685
          0,           0,         117,      -7.064965415,      -4.771839644,      -5.353967457,      -1.046390894
          0,           0,         118,      -7.090154441,      -4.781526526,      -5.382612938,      -1.071954587
          0,           0,         119,      -7.113252401,      -4.791726357,      -5.408900725,      -1.095375282
          0,           0,         120,      -7.133544714,      -4.802485229,      -5.431772064,      -1.115908136
          0,           0,         121,      -7.150413896,      -4.813805488,      -5.450280455,      -1.132905258
          0,           0,         122,      -7.163444553,      -4.825646815,      -5.463801258,       -1.14593178
          0,           0,         123,      -7.172512862,      -4.838012407,      -5.472142608,       -1.15486022
          0,           0,         124,      -7.177799331,      -4.850842097,      -5.475585768,      -1.159885005
          0,           0,         125,       -7.17977143,      -4.864087029,       -5.47483921,      -1.161502246
          0,           0,         126,      -7.179078355,      -4.877703189,      -5.470861325,      -1.160394078
          0,           0,         127,      -7.176464793,      -4.891637872,      -5.464758612,      -1.157339341
          0,           0,         128,      -7.172664035,      -4.905826437,      -5.457492735,      -1.153099149
          0,           0,         129,      -7.168334647,      -4.920188208,      -5.449887297,      -1.148350478
          0,           0,         130,      -7.164041952,      -4.934609165,      -5.442579266,      -1.143669386
          0,           0,         131,      -7.160241091,      -4.949052614,      -5.436094059,      -1.139516663
          0,           0,         132,      -7.157287887,      -4.963439938,       -5.43079967,      -1.136249291
          0,           0,         133,      -7.155447607,      -4.977715995,       -5.42695597,       -1.13413127
          0,           0,         134,      -7.154914986,      -4.991776513,      -5.424737745,      -1.133354736
          0,           0,         135,      -7.155837024,      -5.005602195,      -5.424268245,      -1.134063372
          0,           0,         136,      -7.158317519,       -5.01910663,      -5.425638892,      -1.136357189
          0,           0,         137,      -7.162433384,      -5.032270908,      -5.428901068,      -1.140310204
          0,           0,         138,      -7.168239249,      -5.045065441,      -5.434095287,      -1.145973898
          0,           0,         139,      -7.175777028,      -5.057486003,      -5.441253904,      -1.153387305
          0,           0,         140,      -7.185080506,      -5.069558481,      -5.450403014,       -1.16258195
          0,           0,         141,      -7.196176117,       -5.08127739,      -5.461568567,      -1.173581631
          0,           0,         142,      -7.209089026,      -5.092671139,      -5.474779163,      -1.186409872
          0,           0,         143,      -7.223847512,      -5.103860857,      -5.490072191,      -1.201093227
          0,           0,         144,      -7.240476166,      -5.114914916,      -5.507488281,      -1.217655096
          0,           0,         145,       -7.25900308,      -5.125964299,      -5.527086396,      -1.236122748
          0,           0,         146,      -7.279446531,      -5.136958266,      -5.548933071,      -1.256512401
          0,           0,         147,      -7.301825694,      -5.148007816,      -5.573088466,      -1.278842697
          0,           0,         148,       -7.32615235,      -5.159210021,      -5.599625442,      -1.303124881
          0,           0,         149,      -7.352424001,      -5.170623214,      -5.628620455,      -1.329355128
          0,           0,         150,      -7.380613424,       -5.18227513,      -5.660152424,      -1.357504887
          0,           0,         151,      -7.410663147,      -5.194287451,      -5.694283055,      -1.387516257
          0,           0,         152,      -7.442448951,      -5.206681121,      -5.731045199,      -1.419263323
          0,           0,         153,      -7.475761864,      -5.219495658,       -5.77039869,      -1.452536148
          0,           0,         154,      -7.510272464,      -5.232786222,      -5.812173295,      -1.487003887
          0,           0,         155,      -7.545469703,      -5.246575708,       -5.85600203,       -1.52215413
          0,           0,         156,      -7.580611916,      -5.260894236,      -5.901150861,      -1.557243994
          0,           0,         157,      -7.614681657,      -5.275729749,       -5.94635675,      -1.591255414
          0,           0,         158,      -7.646382655,      -5.291070004,      -5.989620703,      -1.622892648
          0,           0,         159,      -7.674220839,      -5.306873723,      -6.028137229,      -1.650663421
          0,           0,         160,      -7.696721195,      -5.323119451,      -6.058580581,      -1.673096967
          0,           0,         161,      -7.712744817,      -5.339776281,      -6.078002137,      -1.689060348
          0,           0,         162,      -7.721799713,      -5.356734185,      -6.085035631,      -1.698066375
          0,           0,         163,      -7.724221542,      -5.373944072,      -6.080581132,      -1.700454893
          0,           0,         164,      -7.721043221,      -5.391305618,      -6.067347716,      -1.697258867
          0,           0,         165,      -7.713707196,      -5.408699964,      -6.048690263,      -1.689918412
          0,           0,         166,      -7.703727897,      -5.426019233,      -6.027562052,      -1.679944516
          0,           0,         167,      -7.692458653,      -5.443127253,      -6.006129609,      -1.668686649
          0,           0,         168,      -7.680978408,      -5.459885096,      -5.985813845,      -1.657220848
          0,           0,         169,      -7.670088117,      -5.476166293,      -5.967457776,       -1.64634617
          0,           0,         170,      -7.660345763,      -5.491843943,      -5.951513746,      -1.636619637
          0,           0,         171,      -7.652121707,      -5.506785397,      -5.938189194,      -1.628410896
          0,           0,         172,      -7.645650368,      -5.520860593,      -5.927551942,      -1.621953904
          0,           0,         173,      -7.641074528,      -5.533999173,      -5.919594936,      -1.617391367
          0,           0,         174,      -7.638476223,      -5.546162065,      -5.914272787,      -1.614805432
          0,           0,         175,      -7.637895812,      -5.557321869,      -5.911522893,      -1.614236364
          0,           0,         176,      -7.639350403,      -5.567513449,      -5.911279543,      -1.615701406
          0,           0,         177,      -7.642843374,       -5.57679681,      -5.913482131,      -1.619204063
          0,           0,         178,      -7.648366841,       -5.58526563,      -5.918092343,       -1.62473655
          0,           0,         179,       -7.65591955,       -5.59303393,      -5.925055898,      -1.632297715
          0,           0,         180,      -7.665492615,      -5.600234794,      -5.934356929,      -1.641878748
          0,           0,         181,      -7.677082923,      -5.607019232,       -5.94597846,      -1.653476655
          0,           0,         182,      -7.690690388,      -5.613528643,      -5.959918448,      -1.667091389
          0,           0,         183,      -7.706318825,      -5.619920724,      -5.976192424,       -1.68272693
          0,           0,         184,      -7.723973658,      -5.626333554,      -5.994827412,      -1.700388764
          0,           0,         185,      -7.743660607,      -5.632891787,      -6.015862505,      -1.720082642
          0,           0,         186,      -7.765383342,      -5.639716053,      -6.039348785,      -1.741812335
          0,           0,         187,      -7.789138346,      -5.646911069,      -6.065347024,      -1.765574417
