x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-29.0706;12.194;-0.0308659;-0.161448;0.858865;2.5005;0.00251958;0.00351295
-28.7518;12.194;-0.0311483;-0.162036;0.825214;100;0.00257211;0.00345206
-28.4331;12.194;-0.0314848;-0.162738;0.780691;100;0.00261622;0.00345571
-28.1143;12.194;-0.0319261;-0.163541;0.691054;100;0.00248301;0.00346137
-29.7081;11.8752;-0.0289879;-0.154449;0.893121;2.49679;0.00184014;0.00326431
-29.3893;11.8752;-0.0291178;-0.155064;0.930663;2.83789;0.00191632;0.00312505
-29.0706;11.8752;-0.0302728;-0.158858;0.934059;100;0.00200784;0.00317697
-28.7518;11.8752;-0.0305118;-0.159501;0.922386;100;0.0020523;0.00303202
-28.4331;11.8752;-0.0308016;-0.160284;0.893583;100;0.00198966;0.00277348
-28.1143;11.8752;-0.0311951;-0.161193;0.865795;100;0.0017923;0.00291306
-27.7955;11.8752;-0.0307131;-0.160049;0.848637;100;0.00186626;0.00364538
-27.4768;11.8752;-0.0314431;-0.161392;0.813865;100;0.00211583;0.00483038
-27.158;11.8752;-0.0324876;-0.162699;0.757692;100;0.00237397;0.00513173
-26.8393;11.8752;-0.0335697;-0.163811;0.692163;100;0.00285947;0.00500665
-30.0269;11.5565;-0.0284168;-0.149237;0.881328;100;0.00155637;0.00289912
-29.7081;11.5565;-0.0287181;-0.152385;0.933316;2.68665;0.00168687;0.00250206
-29.3893;11.5565;-0.0288148;-0.152944;0.962735;3.02345;0.00159791;0.00234891
-29.0706;11.5565;-0.0296256;-0.155876;0.968846;100;0.00152398;0.00234917
-28.7518;11.5565;-0.0298157;-0.156542;0.967676;100;0.0015019;0.00223849
-28.4331;11.5565;-0.0300469;-0.157365;0.960035;100;0.00148614;0.0019573
-28.1143;11.5565;-0.0303664;-0.158331;0.95045;100;0.00141798;0.00214987
-27.7955;11.5565;-0.0300637;-0.157724;0.935533;100;0.00146452;0.00272659
-27.4768;11.5565;-0.0306781;-0.159095;0.919623;100;0.00175113;0.00399223
-27.158;11.5565;-0.0316254;-0.16047;0.893434;2.69069;0.00210432;0.00433156
-26.8393;11.5565;-0.0326448;-0.161675;0.85807;100;0.0029465;0.00443958
-26.5205;11.5565;-0.0334732;-0.160783;0.810809;100;0.00376009;0.00454142
-26.2017;11.5565;-0.0348842;-0.161648;0.71891;100;0.00538859;0.0048939
-25.883;11.5565;-0.036248;-0.162243;0.560062;100;0.00938109;0.0065878
-30.0269;11.2377;-0.0281438;-0.147725;0.928215;100;0.00144014;0.00185677
-29.7081;11.2377;-0.0283589;-0.150063;0.958732;2.39827;0.00159061;0.0017309
-29.3893;11.2377;-0.0284218;-0.150554;0.973905;2.99195;0.0015121;0.00164551
-29.0706;11.2377;-0.0289355;-0.152611;0.978865;100;0.00138719;0.00163766
-28.7518;11.2377;-0.0290755;-0.153252;0.981417;100;0.00124704;0.00165372
-28.4331;11.2377;-0.0292401;-0.15405;0.98001;100;0.00122476;0.00162271
-28.1143;11.2377;-0.0294609;-0.155003;0.977126;100;0.00119704;0.00158685
-27.7955;11.2377;-0.0292839;-0.154933;0.973824;100;0.00117922;0.00214148
-27.4768;11.2377;-0.0297288;-0.156273;0.967977;100;0.00142851;0.00275966
-27.158;11.2377;-0.0304971;-0.157661;0.95735;100;0.00211187;0.00332054
-26.8393;11.2377;-0.0313707;-0.158917;0.936275;2.14688;0.00292633;0.00351478
-26.5205;11.2377;-0.0320132;-0.158468;0.899599;1.96399;0.00365206;0.00382835
-26.2017;11.2377;-0.0332835;-0.15942;0.840465;1.93087;0.00512618;0.00430292
-25.883;11.2377;-0.0345593;-0.160138;0.724593;100;0.00897468;0.00560207
-30.3456;10.919;-0.0273966;-0.142935;0.907547;2.61518;0.00124847;0.00160672
-30.0269;10.919;-0.0277772;-0.146013;0.95656;2.34206;0.00124495;0.00147963
-29.7081;10.919;-0.0279;-0.147588;0.967177;2.45934;0.00142134;0.00153553
-29.3893;10.919;-0.0279303;-0.148004;0.978238;100;0.00139189;0.00152314
-29.0706;10.919;-0.0282193;-0.149302;0.981516;100;0.00129341;0.00157082
-28.7518;10.919;-0.028315;-0.149858;0.982605;100;0.00116604;0.00161541
-28.4331;10.919;-0.0284132;-0.150553;0.982028;100;0.00118476;0.00147447
-28.1143;10.919;-0.0285208;-0.151403;0.981531;100;0.00126372;0.00157694
-27.7955;10.919;-0.0283886;-0.151743;0.981033;100;0.00121087;0.0016389
-27.4768;10.919;-0.0286157;-0.152984;0.980586;100;0.00130454;0.00190195
-27.158;10.919;-0.0291242;-0.154316;0.976361;100;0.00169526;0.00234918
-26.8393;10.919;-0.0297669;-0.155565;0.964533;100;0.00248214;0.00265984
-26.5205;10.919;-0.030265;-0.155601;0.939509;2.24995;0.0032721;0.00307995
-26.2017;10.919;-0.0313388;-0.156601;0.894834;2.32818;0.00475994;0.00375837
-25.883;10.919;-0.0324707;-0.157409;0.82703;2.22467;0.00795276;0.00490787
47.1129;10.919;-0.0307739;-0.139162;0.714965;100;0.00425447;0.00355951
47.4316;10.919;-0.0312866;-0.13776;0.715887;100;0.00376194;0.00347958
47.7504;10.919;-0.031614;-0.136152;0.745608;100;0.003371;0.00267462
48.0692;10.919;-0.0316101;-0.134413;0.772941;100;0.00311041;0.00215819
48.3879;10.919;-0.0312623;-0.132597;0.779311;2.39228;0.00306748;0.00206599
48.7067;10.919;-0.0307301;-0.130675;0.780457;100;0.00353042;0.00232712
49.0254;10.919;-0.0301614;-0.128695;0.788864;100;0.00390999;0.0027949
49.3442;10.919;-0.0297076;-0.126701;0.7983;100;0.00378431;0.00311058
49.6629;10.919;-0.0293769;-0.124836;0.799543;100;0.0032284;0.00341976
49.9817;10.919;-0.0290674;-0.123336;0.807672;100;0.00246977;0.00372036
50.3005;10.919;-0.0286799;-0.122436;0.82434;100;0.00209411;0.0040163
50.6192;10.919;-0.0282214;-0.122246;0.824163;100;0.00227886;0.00385528
50.938;10.919;-0.0278069;-0.122703;0.803946;100;0.00260841;0.00365392
51.2567;10.919;-0.0275898;-0.123619;0.767811;100;0.002629;0.0035049
51.5755;10.919;-0.0276763;-0.124776;0.761388;100;0.00256131;0.00307269
51.8943;10.919;-0.0280824;-0.125992;0.769398;100;0.00243523;0.00252436
52.213;10.919;-0.0287724;-0.127139;0.7745;2.91294;0.00230376;0.00223835
52.5318;10.919;-0.0297163;-0.128133;0.785256;2.50455;0.00235199;0.00225611
52.8505;10.919;-0.0308972;-0.128917;0.796523;2.50699;0.00217063;0.00262881
53.1693;10.919;-0.0323074;-0.129474;0.81106;2.71791;0.00188279;0.0020505
53.4881;10.919;-0.0338993;-0.129859;0.822079;2.90895;0.00162418;0.00193584
53.8068;10.919;-0.0355652;-0.130213;0.836929;2.66684;0.00149723;0.00212443
54.1256;10.919;-0.037171;-0.130686;0.847302;2.12291;0.00172914;0.00242541
54.4443;10.919;-0.0386473;-0.131375;0.845311;1.8812;0.00217987;0.00319191
54.7631;10.919;-0.0400218;-0.132257;0.839296;100;0.00309815;0.00397054
55.0819;10.919;-0.0413315;-0.133181;0.836983;100;0.00366167;0.00348181
55.4006;10.919;-0.0425349;-0.133929;0.833835;1.92583;0.00383171;0.00273033
55.7194;10.919;-0.0435005;-0.134358;0.82428;1.77505;0.0039634;0.00258642
56.0381;10.919;-0.0440172;-0.13444;0.820409;1.77404;0.0046519;0.00262032
56.3569;10.919;-0.0439021;-0.134272;0.841411;1.92947;0.00443251;0.00243386
56.6757;10.919;-0.043139;-0.134017;0.872082;100;0.00317445;0.00272712
56.9944;10.919;-0.0419298;-0.133862;0.898356;100;0.00249396;0.00259845
57.3132;10.919;-0.0406301;-0.133943;0.913861;2.40551;0.00219699;0.00213867
57.6319;10.919;-0.0396274;-0.134279;0.914878;100;0.00202212;0.00202535
57.9507;10.919;-0.0391869;-0.134792;0.903433;100;0.00213531;0.00210796
58.2694;10.919;-0.0393221;-0.135345;0.898722;100;0.00283663;0.00219593
58.5882;10.919;-0.0398017;-0.135772;0.893023;100;0.00368826;0.00247333
58.907;10.919;-0.0403131;-0.13596;0.891903;100;0.00373399;0.0029465
59.2257;10.919;-0.0406064;-0.135926;0.889903;100;0.00318622;0.00279137
59.5445;10.919;-0.0405245;-0.13575;0.883651;2.3922;0.00287348;0.00283598
59.8632;10.919;-0.0399968;-0.135504;0.867;100;0.00294953;0.0029148
60.182;10.919;-0.0390189;-0.135188;0.849304;100;0.00354376;0.00302686
60.5008;10.919;-0.0375737;-0.13471;0.843106;100;0.00405775;0.00340839
60.8195;10.919;-0.0359902;-0.134168;0.832543;100;0.00460111;0.00420378
61.1383;10.919;-0.0343847;-0.133509;0.797505;100;0.0047805;0.00535143
61.457;10.919;-0.032825;-0.132743;0.766838;100;0.00549297;0.00732476
61.7758;10.919;-0.03139;-0.131943;0.760352;100;0.00684526;0.00996199
-30.3456;10.6002;-0.0270472;-0.142001;0.949056;100;0.00106939;0.00156435
-30.0269;10.6002;-0.0273115;-0.144192;0.968554;100;0.00107851;0.00146184
-29.7081;10.6002;-0.0273478;-0.145157;0.97218;100;0.00124729;0.00143965
-29.3893;10.6002;-0.0273484;-0.145493;0.978178;100;0.00120802;0.00140137
-29.0706;10.6002;-0.0273925;-0.145861;0.981009;100;0.00110852;0.00144249
-28.7518;10.6002;-0.0274491;-0.14628;0.982682;100;0.00108182;0.00150849
-28.4331;10.6002;-0.027484;-0.146806;0.982246;100;0.00118069;0.00161336
-28.1143;10.6002;-0.0274759;-0.147486;0.981878;100;0.00132117;0.00173462
-27.7955;10.6002;-0.0274232;-0.148364;0.982278;100;0.00129339;0.0016184
-27.4768;10.6002;-0.0274122;-0.149444;0.982041;100;0.00136509;0.00148238
-27.158;10.6002;-0.0276133;-0.150653;0.979537;100;0.0016269;0.00171079
-26.8393;10.6002;-0.0279673;-0.151832;0.972551;100;0.00192684;0.00206185
-26.5205;10.6002;-0.0283244;-0.15228;0.957235;100;0.00236574;0.0025154
-26.2017;10.6002;-0.0291523;-0.153272;0.930406;100;0.0037079;0.00322275
-25.883;10.6002;-0.0300833;-0.154117;0.89741;100;0.00559805;0.00405857
-25.5642;10.6002;-0.0264717;-0.149161;0.868862;100;0.00685863;0.00511234
