x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-0.382245;8.05012;-0.0170649;-0.15921;0.875361;100;0.00126105;0.00154449
0.574032;8.05012;-0.0186251;-0.160304;0.924381;100;0.00220856;0.00149951
1.53031;8.05012;-0.021281;-0.159928;0.871106;100;0.00457674;0.00261918
-0.382245;7.09385;-0.0184756;-0.155832;0.986399;1.78282;0.00107824;0.000943583
0.574032;7.09385;-0.017843;-0.157168;0.992903;1.17447;0.00138814;0.000805811
1.53031;7.09385;-0.0196791;-0.157537;0.9846;2.15657;0.00101299;0.00108896
-0.382245;6.13757;-0.0187976;-0.155448;0.981709;100;0.00151566;0.00174246
0.574032;6.13757;-0.0180444;-0.155911;0.978943;2.57884;0.00117094;0.00102204
1.53031;6.13757;-0.0193411;-0.157653;0.947573;100;0.00102974;0.000782459
0.574032;-4.38149;-0.0131694;-0.0799503;0.889077;100;0.00176657;0.00169746
-0.382245;-5.33776;-0.0124053;-0.0812316;0.945814;2.55274;0.000911616;0.001202
0.574032;-5.33776;-0.0131992;-0.0825622;0.979997;1.5635;0.000870609;0.00102671
1.53031;-5.33776;-0.0128012;-0.0813197;0.959472;2.10837;0.00073596;0.00123182
-0.382245;-6.29404;-0.0128568;-0.0815404;0.979321;100;0.0011144;0.00205664
0.574032;-6.29404;-0.0132342;-0.0828589;0.968596;100;0.000967647;0.00159522
1.53031;-6.29404;-0.0134514;-0.0817158;0.969081;2.67649;0.000702127;0.00103376
