fraction,x,y,ux,uy
0.0,-31.6206,0.0,-0.007403332688877923,-0.007709989637282146
0.0,-31.3019,0.0,-0.006764346479995219,-0.007850573140545453
0.0,-30.9831,0.0,-0.006141231023543507,-0.00796519311276269
0.0,-30.6644,0.0,-0.005581426362966293,-0.008012322202218343
0.0,-30.3456,0.0,-0.00512194168790791,-0.007953396588243185
0.0,-30.0269,0.0,-0.004672535203882973,-0.007788689063933293
0.0,-29.7081,0.0,-0.00440783623086641,-0.007519999050041913
0.0,-29.3893,0.0,-0.004204970297125915,-0.007245599339665263
0.0,-29.0706,0.0,-0.004005666577824675,-0.007054526401757379
0.0,-28.7518,0.0,-0.003791066939853896,-0.00699258038112987
0.0,-28.4331,0.0,-0.003547149501841204,-0.007055052305355937
0.0,-28.1143,0.0,-0.0032563540900124996,-0.007203251436485832
0.0,-27.7955,0.0,-0.0029257549588827037,-0.0073992324779503125
0.0,-27.4768,0.0,-0.002612920892623125,-0.007622795574561367
0.0,-27.158,0.0,-0.0024136153498742624,-0.007883958960795648
0.0,-26.8393,0.0,-0.002410198359598229,-0.008213958960795674
0.0,-26.5205,0.0,-0.002613261021774144,-0.008629031898703659
0.0,-26.2017,0.0,-0.0029324726998203403,-0.00910363218832701
0.0,-25.883,0.0,-0.003210088241979441,-0.009575450567615702
0.0,-25.5642,0.0,-0.003299258777192949,-0.009964432333138724
0.0,-25.2455,0.0,-0.0031477916716573786,-0.01019503189870366
0.0,-24.9267,0.0,-0.0028161687633015933,-0.010218285733264438
0.0,-24.6079,0.0,-0.002428237244548229,-0.01003953956782524
0.0,-24.2892,0.0,-0.0020946259285312277,-0.009725157367867152
0.0,-23.9704,0.0,-0.0018499525428866592,-0.009390466629917354
0.0,-23.6517,0.0,-0.0016266621669660572,-0.009158758381548997
0.0,-23.3329,0.0,-0.001294472890434711,-0.009111014388285097
0.0,-23.0141,0.0,-0.0007416886498113189,-0.009211907153598509
0.0,-22.6954,0.0,5.5866343242914855e-05,-0.00930349065686184
0.0,-22.3766,0.0,0.0010036243315399234,-0.009197309760208947
0.0,-22.0579,0.0,0.0019219215668162515,-0.008783691236108544
0.0,-21.7391,0.0,0.0026390092504190257,-0.008089853174226067
0.0,-21.4204,0.0,0.003083104227812591,-0.007308414098661672
0.0,-21.1016,0.0,0.0033151377872311857,-0.006740411202427955
0.0,-20.7828,0.0,0.003489179147281481,-0.006630918147491069
0.0,-20.4641,0.0,0.003776862736252201,-0.00702371756824439
0.0,-20.1453,0.0,0.004309621158984374,-0.007769355050880163
0.0,-19.8266,0.0,0.0051726362534068645,-0.00860692104372491
0.0,-19.5078,0.0,0.00642903322654141,-0.009240142029623892
0.0,-19.189,0.0,0.008106365221692629,-0.009442071987949798
0.0,-18.8703,0.0,0.010166619898670959,-0.009136438125606232
0.0,-18.5515,0.0,0.012457099740557675,-0.008397586173597402
0.0,-18.2328,0.0,0.014705723846859996,-0.007413570835354118
0.0,-17.914,0.0,0.016586898803401504,-0.006430591966064937
0.0,-17.5952,0.0,0.017861288866956697,-0.0056852126623405915
0.0,-17.2765,0.0,0.01851645444989911,-0.005313541606984629
0.0,-16.9577,0.0,0.018807039788581496,-0.005332051448281585
0.0,-16.639,0.0,0.019132984867192684,-0.0056595605655200484
0.0,-16.3202,0.0,0.01982501701114597,-0.006150487627612089
0.0,-16.0014,0.0,0.020948411994299452,-0.006673669248323423
0.0,-15.6827,0.0,0.022288623715048805,-0.007158541606984654
0.0,-15.3639,0.0,0.02353099221683752,-0.007580940593302835
0.0,-15.0452,0.0,0.02449082952318961,-0.00792548400731993
0.0,-14.7264,0.0,0.02525939323525029,-0.008162917290416767
0.0,-14.4077,0.0,0.026169856943910153,-0.008245186463220755
0.0,-14.0889,0.0,0.027638637476902497,-0.008164328718744318
0.0,-13.7701,0.0,0.029992248101362147,-0.007990053753472845
0.0,-13.4514,0.0,0.03330139804520691,-0.007833670829456317
0.0,-13.1326,0.0,0.037331202923001655,-0.007760870684644553
0.0,-12.8139,0.0,0.041641651721654356,-0.007762089498368333
0.0,-12.4951,0.0,0.04578912299422785,-0.007762072712008239
0.0,-12.1763,0.0,0.04948484452687267,-0.007682875028995178
0.0,-11.8576,0.0,0.05266668035747562,-0.007512732773471666
0.0,-11.5388,0.0,0.055523845146024126,-0.007302772862717829
0.0,-11.2201,0.0,0.058397053335288315,-0.007110558393344648
0.0,-10.9013,0.0,0.06161427757355245,-0.006946615993009373
0.0,-10.5825,0.0,0.06537852705046104,-0.006740036110038299
0.0,-10.2638,0.0,0.0696912441397461,-0.006421982130665883
0.0,-9.94502,0.0,0.07430673532543255,-0.0060270353859798575
0.0,-9.62626,0.0,0.0788147561074157,-0.005673777207068479
0.0,-9.3075,0.0,0.0828666466015448,-0.005525007738743213
0.0,-8.98874,0.0,0.08632014423135141,-0.005731600787782173
0.0,-8.66998,0.0,0.08926664587008265,-0.006362212795356552
0.0,-8.35123,0.0,0.09206300448342916,-0.007365627843976311
0.0,-8.03247,0.0,0.09526340607635773,-0.00857841120242798
0.0,-7.71371,0.0,0.09937135043165082,-0.009758108456903704
0.0,-7.39495,0.0,0.10447865307816599,-0.010586772862717754
0.0,-7.07619,0.0,0.11014128103573141,-0.010813348268322318
0.0,-6.75743,0.0,0.1155378881980121,-0.010548596177399627
0.0,-6.43867,0.0,0.1198469785739327,-0.009967208051957995
0.0,-6.11991,0.0,0.12268827032556434,-0.009405620071328228
0.0,-5.80115,0.0,0.12433852705635892,-0.009232086070070776
0.0,-5.48239,0.0,0.12656704716748995,-0.011709583602374271
0.0,-5.16363,0.0,0.12772409666949586,-0.011671674641743224
0.0,-4.84487,0.0,0.12968563415802953,-0.011016116613541311
0.0,-4.52611,0.0,0.13293860565371843,-0.01118792992442091
0.0,-4.20736,0.0,0.13657012273559976,-0.010782560890530708
0.0,-3.8886,0.0,0.13998285645902953,-0.010101739615008275
0.0,-3.56984,0.0,0.14253535616350826,-0.009557395465136963
0.0,-3.25108,0.0,0.14430768221191853,-0.010265993582585014
0.0,-2.93232,0.0,0.1450599775838424,-0.01239294019425503
