fraction,x,y,ux,uy
0.0,-31.3019,0.0,-0.026870744467419085,-0.006452876193129643
0.0,-30.9831,0.0,-0.02641467977787953,-0.006037569840614826
0.0,-30.6644,0.0,-0.025852509400779357,-0.0055246324170833035
0.0,-30.3456,0.0,-0.02517211706990096,-0.004970923661874035
0.0,-30.0269,0.0,-0.024359575723152258,-0.004493217757095877
0.0,-29.7081,0.0,-0.023314343638453732,-0.00416283994139322
0.0,-29.3893,0.0,-0.022093948384738386,-0.00415405002651087
0.0,-29.0706,0.0,-0.020686071872340926,-0.004392701182055439
0.0,-28.7518,0.0,-0.0191230631895375,-0.0047084539438301725
0.0,-28.4331,0.0,-0.017485100454955743,-0.004894774245575568
0.0,-28.1143,0.0,-0.015876001758260937,-0.004818058802425449
0.0,-27.7955,0.0,-0.014381174248432188,-0.004496438685396523
0.0,-27.4768,0.0,-0.013041243164113888,-0.0040839539379322965
0.0,-27.158,0.0,-0.011857837318439982,-0.003795348177965826
0.0,-26.8393,0.0,-0.01080775102384984,-0.0038076485399950472
0.0,-26.5205,0.0,-0.00984182600242298,-0.004158587411643454
0.0,-26.2017,0.0,-0.008882098723113359,-0.004698360711580585
0.0,-25.883,0.0,-0.007829387637615483,-0.005166028034333713
0.0,-25.5642,0.0,-0.006605456711410466,-0.005347327310275271
0.0,-25.2455,0.0,-0.005192627970682367,-0.00518560762768141
0.0,-24.9267,0.0,-0.003623755901644587,-0.004774925730648293
0.0,-24.6079,0.0,-0.0019310165822595219,-0.00429348044738082
0.0,-24.2892,0.0,-9.71932394687419e-05,-0.003937597812987667
0.0,-23.9704,0.0,0.0019308200315060217,-0.003846092632267951
0.0,-23.6517,0.0,0.004207827167183531,-0.0040499611859204305
0.0,-23.3329,0.0,0.0067297752875805205,-0.004471275832606264
0.0,-23.0141,0.0,0.009384611005872847,-0.004948010609622615
0.0,-22.6954,0.0,0.011985255189751064,-0.005237999510823146
0.0,-22.3766,0.0,0.014390121630332469,-0.005045023794889971
0.0,-22.0579,0.0,0.01656766474142462,-0.004132766543952899
0.0,-21.7391,0.0,0.01857492857539563,-0.002444852851844634
0.0,-21.4204,0.0,0.020533575636308147,-0.00018774661164046714
0.0,-21.1016,0.0,0.022597095562722727,0.0021721475160823636
0.0,-20.7828,0.0,0.024875430366342193,0.004057182569420499
0.0,-20.4641,0.0,0.027456261740283944,0.004979973438880417
0.0,-20.1453,0.0,0.030452382028727742,0.004751584682491573
0.0,-19.8266,0.0,0.0339752872951549,0.003564918268513355
0.0,-19.5078,0.0,0.0380385374961219,0.001884020869225869
0.0,-19.189,0.0,0.04251004554057432,0.00021409794167065053
0.0,-18.8703,0.0,0.04714986459811877,-0.0011222360846840094
0.0,-18.5515,0.0,0.05168222610180118,-0.0020351255651312942
0.0,-18.2328,0.0,0.05588146133985578,-0.002558279472097941
0.0,-17.914,0.0,0.059633279429521076,-0.0027311897744331237
0.0,-17.5952,0.0,0.0629672490825628,-0.002508850916086311
0.0,-17.2765,0.0,0.06612197701352503,-0.0017834862265467596
0.0,-16.9577,0.0,0.06954428627557521,-0.000538865648479607
0.0,-16.639,0.0,0.07375859481356693,0.0010284581553494207
0.0,-16.3202,0.0,0.07922521188955041,0.0025332863434339536
0.0,-16.0014,0.0,0.08618262911034556,0.0035422390328028433
0.0,-15.6827,0.0,0.09449564734482255,0.0037486108846230912
0.0,-15.3639,0.0,0.10368893982051255,0.0031246557201539057
0.0,-15.0452,0.0,0.1131712337443196,0.001975011324956032
0.0,-14.7264,0.0,0.12246834677147367,0.000770144673054971
0.0,-14.4077,0.0,0.1314522781779164,-0.00017985814487500064
0.0,-14.0889,0.0,0.14045877268097012,-0.0008877976223733473
0.0,-13.7701,0.0,0.1500839207289613,-0.0016055977538834167
0.0,-13.4514,0.0,0.16078743129431664,-0.0025993350651043147
0.0,-13.1326,0.0,0.17266608628737096,-0.0038782410880909743
0.0,-12.8139,0.0,0.1854297587908438,-0.005082445676262344
0.0,-12.4951,0.0,0.19859195864603213,-0.005641942055970135
0.0,-12.1763,0.0,0.21181374128042524,-0.005045456551946404
0.0,-11.8576,0.0,0.2251389615422659,-0.003164320873558858
0.0,-11.5388,0.0,0.23893929193502678,-0.00042300910390734737
0.0,-11.2201,0.0,0.25369385937598843,0.0023261782634687884
0.0,-10.9013,0.0,0.26973328166519267,0.004149029491419201
0.0,-10.5825,0.0,0.2869513042440203,0.0044052033647052095
0.0,-10.2638,0.0,0.30474458210552563,0.003002024963857923
0.0,-9.94502,0.0,0.322325697304855,0.0004544397169565041
0.0,-9.62626,0.0,0.33911764911795006,-0.002373067049287967
0.0,-9.3075,0.0,0.3550168175725935,-0.004693939472951251
0.0,-8.98874,0.0,0.3703814550552293,-0.005961285947213295
0.0,-8.66998,0.0,0.3858375418832635,-0.005951917557571974
0.0,-8.35123,0.0,0.4020133873187464,-0.004882817228043817
0.0,-8.03247,0.0,0.41928773897523397,-0.0032315117902017867
0.0,-7.71371,0.0,0.43763801841787214,-0.0014472894935938186
0.0,-7.39495,0.0,0.45661522854289455,0.00013090021147464138
0.0,-7.07619,0.0,0.4754524072673721,0.0012109048070497283
0.0,-6.75743,0.0,0.4932837726809701,0.0016506286640852047
0.0,-6.43867,0.0,0.5093241599493373,0.0014144161969784136
0.0,-6.11991,0.0,0.5230584399830179,0.000415129475356925
0.0,-5.80115,0.0,0.5343393925201715,-0.0013845008641976226
0.0,-5.48239,0.0,0.5432967608300032,-0.0038072954588565817
0.0,-5.16363,0.0,0.5502607972989572,-0.006529034685130491
0.0,-4.84487,0.0,0.5557001912168662,-0.009204836632684567
0.0,-4.52611,0.0,0.5600609608182074,-0.011490411518146552
0.0,-4.20736,0.0,0.5636180718062022,-0.013133737907880734
0.0,-3.8886,0.0,0.5663561280907659,-0.014102452356548504
0.0,-3.56984,0.0,0.5680300610783414,-0.014422304400162674
