x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-0.382245;8.05012;0.038494;-0.0841739;0.945601;1.88832;0.000997157;0.00107383
0.574032;8.05012;0.0403358;-0.0841394;0.980889;2.14312;0.00135117;0.001154
1.53031;8.05012;0.0382242;-0.0835589;0.968882;100;0.00219176;0.00114489
-0.382245;7.09385;0.0401148;-0.0851738;0.977931;100;0.0007844;0.00084882
0.574032;7.09385;0.0395777;-0.0840865;0.996012;100;0.000993145;0.000677038
1.53031;7.09385;0.0391522;-0.0817754;0.990408;100;0.00112827;0.00138664
-0.382245;6.13757;0.0401165;-0.0842093;0.980941;2.74708;0.000981686;0.000593172
0.574032;6.13757;0.0406545;-0.0851599;0.994664;100;0.00106251;0.00052756
1.53031;6.13757;0.038344;-0.0834456;0.943623;100;0.00126771;0.0011014
0.574032;-4.38149;0.0391283;-0.072687;0.975204;100;0.00209843;0.000828643
1.53031;-4.38149;0.039498;-0.0734739;0.934692;100;0.00174716;0.000892457
-0.382245;-5.33776;0.0387145;-0.0724989;0.955848;100;0.00103108;0.00137572
0.574032;-5.33776;0.0380351;-0.0715949;0.977367;1.8925;0.00118757;0.00122186
1.53031;-5.33776;0.0408455;-0.07354;0.951484;1.6755;0.00117582;0.00145878
-0.382245;-6.29404;0.0402676;-0.073784;0.905244;100;0.000723734;0.00143259
0.574032;-6.29404;0.0414127;-0.074558;0.991517;100;0.00100438;0.00131076
1.53031;-6.29404;0.0397571;-0.0741472;0.962486;100;0.00130528;0.00142233
