x;y;x-displacement;y-displacement;Correlation value;Peak ratio;Uncertainty Vx;Uncertainty Vy
-29.7081;11.8752;0.00137923;-0.12872;0.795662;100;0.00437935;0.0112606
-29.3893;11.8752;0.00155491;-0.129596;0.824583;2.62146;0.00514763;0.00939389
-29.7081;11.5565;0.00183648;-0.124878;0.876487;2.36055;0.00318551;0.00730645
-29.3893;11.5565;0.00211759;-0.125658;0.897484;2.45382;0.00357159;0.00614162
-29.0706;11.5565;0.00307468;-0.121999;0.91556;100;0.00403776;0.00616577
-28.7518;11.5565;0.0034224;-0.12393;0.915283;100;0.00427066;0.00694785
-28.4331;11.5565;0.00373273;-0.126388;0.911618;100;0.00422909;0.00770688
-28.1143;11.5565;0.00398232;-0.129251;0.898298;100;0.00398953;0.00875434
-27.7955;11.5565;0.00423348;-0.132202;0.864874;100;0.00430725;0.0105883
-30.0269;11.2377;0.00267919;-0.112838;0.905778;100;0.00215958;0.00508558
-29.7081;11.2377;0.00236539;-0.120749;0.941614;2.28195;0.00233659;0.00431375
-29.3893;11.2377;0.0027761;-0.121401;0.948652;100;0.00257864;0.00389781
-29.0706;11.2377;0.00371241;-0.118909;0.953148;100;0.00286438;0.0040935
-28.7518;11.2377;0.00418465;-0.120565;0.953681;100;0.00298666;0.00479138
-28.4331;11.2377;0.00463554;-0.122775;0.95156;100;0.00286389;0.00526335
-28.1143;11.2377;0.00508391;-0.125415;0.941414;100;0.00289199;0.00554692
-27.7955;11.2377;0.00562608;-0.128231;0.915258;100;0.00341193;0.00675597
-27.4768;11.2377;0.00778156;-0.125699;0.874038;100;0.00471313;0.00873167
49.6629;11.2377;0.0117122;-0.102989;0.88423;100;0.00483282;0.00390236
49.9817;11.2377;0.012392;-0.100812;0.869854;100;0.00458377;0.00406127
50.3005;11.2377;0.0136869;-0.0983258;0.865228;100;0.00456265;0.00459253
50.6192;11.2377;0.0153448;-0.0958671;0.856792;100;0.00467748;0.00467775
50.938;11.2377;0.0169999;-0.0936308;0.844878;100;0.00469773;0.00381114
51.2567;11.2377;0.0183766;-0.0914984;0.829861;100;0.00426029;0.00309505
51.5755;11.2377;0.0191825;-0.0894452;0.815579;100;0.0038202;0.00322203
51.8943;11.2377;0.019416;-0.087335;0.823999;100;0.00374542;0.0038433
52.213;11.2377;0.0191652;-0.0852235;0.819686;2.74854;0.00405237;0.00462001
52.5318;11.2377;0.0185158;-0.0834219;0.819623;2.95498;0.00479457;0.00529951
52.8505;11.2377;0.0175613;-0.082327;0.829077;3.09801;0.00523417;0.00519982
53.1693;11.2377;0.0164526;-0.0822172;0.838249;100;0.00492883;0.00515142
53.4881;11.2377;0.01541;-0.0830694;0.847467;100;0.00447078;0.0047338
53.8068;11.2377;0.0146484;-0.0846343;0.85118;100;0.0040519;0.00430052
54.1256;11.2377;0.0142421;-0.0865667;0.86551;100;0.00382552;0.00431454
54.4443;11.2377;0.0140128;-0.0885748;0.86475;100;0.0037716;0.00444735
54.7631;11.2377;0.0135763;-0.0905453;0.855071;100;0.00483248;0.00460215
55.0819;11.2377;0.0125725;-0.0924713;0.836556;100;0.00710034;0.00532848
55.4006;11.2377;0.0109134;-0.0943025;0.818548;100;0.00768736;0.00545679
55.7194;11.2377;0.00886974;-0.0958923;0.81191;1.89171;0.00704631;0.00505539
56.0381;11.2377;0.00693109;-0.0970649;0.811814;1.73307;0.00745553;0.00522246
56.3569;11.2377;0.00562355;-0.0977118;0.818143;1.78776;0.00872091;0.00580051
56.6757;11.2377;0.0052585;-0.0978468;0.833809;1.92029;0.0079763;0.00529365
56.9944;11.2377;0.00580149;-0.0976664;0.859201;2.15482;0.00647223;0.00504556
57.3132;11.2377;0.00694248;-0.0974706;0.888831;2.4319;0.00483816;0.00457908
57.6319;11.2377;0.00828263;-0.0974778;0.903573;2.72006;0.00374964;0.00394015
57.9507;11.2377;0.00951276;-0.0976843;0.906948;100;0.003487;0.00374968
58.2694;11.2377;0.0104911;-0.0978271;0.90388;100;0.00375873;0.00368791
58.5882;11.2377;0.0112148;-0.0975079;0.895565;100;0.00453688;0.00406808
58.907;11.2377;0.0117354;-0.0963561;0.882708;100;0.00603966;0.00518241
59.2257;11.2377;0.0120164;-0.0942425;0.874803;100;0.00610805;0.00536349
59.5445;11.2377;0.011976;-0.0913631;0.870897;100;0.00531895;0.00509525
59.8632;11.2377;0.011651;-0.0881242;0.869169;100;0.00515198;0.00466116
60.182;11.2377;0.0113064;-0.0849796;0.857544;100;0.00558844;0.00433146
60.5008;11.2377;0.0113245;-0.0822628;0.83059;100;0.00655874;0.00450448
60.8195;11.2377;0.0118356;-0.080196;0.793145;100;0.00857908;0.00512452
61.1383;11.2377;0.0127545;-0.0788097;0.736412;100;0.0112097;0.00651312
61.457;11.2377;0.0140911;-0.077886;0.675096;100;0.0117767;0.00882092
61.7758;11.2377;0.0156331;-0.0772659;0.62354;100;0.0114102;0.0121352
-30.0269;10.919;0.00292971;-0.111341;0.948026;100;0.0018288;0.00329809
-29.7081;10.919;0.00295978;-0.116599;0.955262;100;0.00194419;0.00292657
-29.3893;10.919;0.00351612;-0.117109;0.963621;100;0.00209022;0.00306648
-29.0706;10.919;0.00443333;-0.115701;0.966358;100;0.00226449;0.00313352
-28.7518;10.919;0.00504796;-0.117028;0.965675;100;0.00230605;0.00314356
-28.4331;10.919;0.00566626;-0.118896;0.962812;100;0.00238241;0.00360924
-28.1143;10.919;0.00636198;-0.12121;0.954696;100;0.00256008;0.00390619
-27.7955;10.919;0.0072698;-0.123787;0.938543;100;0.00322102;0.00506757
-27.4768;10.919;0.00964252;-0.122553;0.908672;100;0.00464502;0.00705594
-27.158;10.919;0.0138843;-0.121026;0.860596;100;0.00728025;0.0101113
-23.9704;10.919;0.031203;-0.13913;0.554105;100;0.0236863;0.0372673
-23.6517;10.919;0.0341515;-0.139141;0.428519;100;0.0310781;0.0409665
39.7814;10.919;0.0467309;-0.121679;0.782866;100;0.00581183;0.00870385
40.1002;10.919;0.0467165;-0.122509;0.771162;100;0.00487926;0.00723654
40.4189;10.919;0.0459818;-0.122565;0.775298;100;0.00488489;0.00579731
40.7377;10.919;0.0444822;-0.121714;0.799651;100;0.00528667;0.00523052
41.0565;10.919;0.0423589;-0.120077;0.82051;100;0.00595166;0.00531646
41.3752;10.919;0.0398405;-0.11799;0.819347;100;0.00794684;0.00587333
41.694;10.919;0.0373491;-0.115892;0.811963;100;0.00956639;0.00612467
42.0127;10.919;0.0350602;-0.114058;0.802344;100;0.00840235;0.0058874
42.3315;10.919;0.0329454;-0.112472;0.836721;2.45066;0.00799529;0.00583563
42.6502;10.919;0.0308962;-0.110839;0.872996;100;0.00769897;0.00606005
42.969;10.919;0.0288697;-0.10879;0.894987;2.50596;0.00722272;0.00597555
43.2878;10.919;0.0269073;-0.106142;0.898545;100;0.00691151;0.00529634
43.6065;10.919;0.0251415;-0.103018;0.896444;100;0.00676284;0.00502935
43.9253;10.919;0.0237489;-0.0998435;0.893281;100;0.00678688;0.00506383
44.244;10.919;0.0228112;-0.0971871;0.888078;100;0.0068087;0.00541425
44.5628;10.919;0.022227;-0.0955452;0.88148;100;0.0065177;0.00627418
44.8816;10.919;0.0218424;-0.0951489;0.877138;100;0.00565484;0.00575248
45.2003;10.919;0.0215157;-0.0958764;0.873632;100;0.00473471;0.00485855
45.5191;10.919;0.0211578;-0.0973266;0.874242;100;0.00422523;0.00402705
45.8378;10.919;0.0207121;-0.0990233;0.877117;100;0.00440428;0.00353617
46.1566;10.919;0.0201454;-0.100583;0.877773;100;0.00451146;0.00365847
