"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.801019178,      -2.512085854,      -2.796515944,       1.180012236
          0,           0,           1,       -4.82875566,      -2.540496086,      -2.878172816,       1.151781242
          0,           0,           2,      -4.864523217,      -2.571830312,      -2.979244816,       1.115594141
          0,           0,           3,      -4.921019077,       -2.61406248,      -3.028544198,       1.058734639
          0,           0,           4,      -5.014597527,      -2.683686995,      -3.013810827,      0.9646077021
          0,           0,           5,      -5.133697492,      -2.778318137,      -3.045311343,      0.8448227163
          0,           0,           6,      -5.234348035,       -2.85403982,      -3.141771089,       0.744380088
          0,           0,           7,       -5.30039942,       -2.86513473,       -3.24299479,      0.6796883032
          0,           0,           8,      -5.320118923,      -2.833043818,      -3.318462392,      0.6605939622
          0,           0,           9,       -5.33465087,      -2.878367493,      -3.328886638,       0.645562807
          0,           0,          10,      -5.391666294,      -2.904920046,      -3.413331075,      0.5882864392
          0,           0,          11,      -5.390946139,      -2.947531879,      -3.417591946,      0.5887667914
          0,           0,          12,      -5.423902771,      -2.929192056,      -3.491827873,      0.5556199233
          0,           0,          13,       -5.41313348,      -2.972466327,      -3.455852053,      0.5662009907
          0,           0,          14,      -5.448748851,      -2.960266702,      -3.511811676,      0.5302887221
          0,           0,          15,      -5.445634151,      -3.016573355,      -3.463727785,       0.533101738
          0,           0,          16,      -5.489227044,      -3.007440321,      -3.523578402,      0.4893073324
          0,           0,          17,      -5.489798022,      -3.064262727,      -3.482583476,      0.4884958494
          0,           0,          18,      -5.529435516,      -3.050608505,      -3.545277333,      0.4486010253
          0,           0,          19,      -5.532135697,      -3.105859947,      -3.511333756,      0.4456037391
          0,           0,          20,      -5.569929064,       -3.09796468,      -3.569903358,      0.4075488538
          0,           0,          21,      -5.574058235,      -3.148872091,      -3.542986235,      0.4033423596
          0,           0,          22,      -5.605523068,      -3.134156238,      -3.593431903,      0.3717116811
          0,           0,          23,      -5.603114285,      -3.171948073,      -3.568412059,        0.37421143
          0,           0,          24,      -5.623857795,      -3.142493018,      -3.611877506,      0.3535055386
          0,           0,          25,      -5.613151034,      -3.171022634,      -3.582797246,      0.3645003797
          0,           0,          26,      -5.630528018,      -3.139267369,       -3.62221814,      0.3473318544
          0,           0,          27,      -5.617578474,      -3.169102109,      -3.588199297,      0.3605322523
          0,           0,          28,      -5.636557324,      -3.137755885,      -3.629343658,      0.3417827637
          0,           0,          29,      -5.623767548,      -3.171387341,      -3.594093917,       0.354727035
          0,           0,          30,      -5.642661826,      -3.137835329,      -3.643922018,      0.3360985339
          0,           0,          31,      -5.629454723,      -3.173664372,      -3.608887154,      0.3493542224
          0,           0,          32,       -5.64883919,      -3.142283592,      -3.669237177,       0.330170536
          0,           0,          33,      -5.637487428,      -3.181505575,      -3.633008042,      0.3415223484
          0,           0,          34,      -5.660778726,      -3.157855149,      -3.699374706,      0.3182788908
          0,           0,          35,      -5.654274506,      -3.201530537,      -3.661730777,      0.3246816237
          0,           0,          36,      -5.682407474,      -3.186317922,      -3.726289492,      0.2964701084
          0,           0,          37,      -5.680594364,      -3.232750462,      -3.688565238,      0.2981834605
          0,           0,          38,      -5.711982061,      -3.223116279,       -3.74476188,      0.2664859653
          0,           0,          39,      -5.713199293,      -3.270329658,      -3.708480967,      0.2651792579
          0,           0,          40,       -5.74557668,      -3.261540955,      -3.754958986,       0.232489744
          0,           0,          41,       -5.74806172,      -3.308413587,      -3.721768192,      0.2299762759
          0,           0,          42,      -5.778831461,      -3.295129087,      -3.762883199,      0.1990406979
          0,           0,          43,      -5.780931243,      -3.342014197,      -3.732948408,      0.1969085498
          0,           0,          44,      -5.807945894,      -3.321257942,      -3.775765932,      0.1698697499
          0,           0,          45,      -5.808286014,       -3.36801846,      -3.748401603,       0.169505427
          0,           0,          46,      -5.831509163,      -3.340843061,      -3.798212249,      0.1463577222
          0,           0,          47,      -5.830755051,       -3.38851257,      -3.772198087,      0.1470675315
          0,           0,          48,      -5.853009336,      -3.360186462,      -3.831335527,      0.1249714301
          0,           0,          49,      -5.853865559,      -3.412131459,      -3.805795557,      0.1239867432
          0,           0,          50,      -5.878527593,      -3.387856337,       -3.87420302,     0.09944961759
          0,           0,          51,      -5.883569943,      -3.446322737,      -3.849109627,     0.09416655328
          0,           0,          52,      -5.912805453,      -3.429739186,      -3.924812609,     0.06503087375
          0,           0,          53,      -5.922668836,      -3.493682693,      -3.901529635,      0.0548548217
          0,           0,          54,      -5.956897478,      -3.486576649,       -3.98200745,     0.02064261883
          0,           0,          55,      -5.971243732,       -3.55518549,      -3.961899712,    0.005978128879
          0,           0,          56,      -6.008916491,      -3.556837157,      -4.044862288,     -0.0318918193
          0,           0,          57,      -6.026096424,      -3.628080047,      -4.028874549,    -0.04939196204
          0,           0,          58,      -6.063919575,        -3.6340435,      -4.113061883,    -0.08715023953
          0,           0,          59,       -6.08063638,      -3.704149507,      -4.100784238,     -0.1041465309
          0,           0,          60,      -6.115587043,      -3.711994089,      -4.186504847,     -0.1389528538
          0,           0,          61,      -6.128661658,      -3.780429102,      -4.174362384,      -0.152198253
          0,           0,          62,      -6.159131437,      -3.787448865,      -4.263437074,     -0.1823942582
          0,           0,          63,      -6.165671625,      -3.849839751,      -4.245306716,     -0.1889082386
          0,           0,          64,      -6.191598857,      -3.850170536,      -4.341716494,     -0.2143228498
          0,           0,          65,      -6.191665845,      -3.908746706,      -4.309883436,     -0.2143454993
          0,           0,          66,      -6.215290957,       -3.90252757,       -4.41776046,     -0.2376392188
          0,           0,          67,      -6.210816726,      -3.960335595,      -4.366469491,     -0.2330617765
          0,           0,          68,      -6.234264292,       -3.94673639,      -4.487725109,     -0.2563077679
